game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1983-10-04,New York Islanders,3,Quebec Nordiques,7,NaN,NaN,NaN,0
1983-10-04,Pittsburgh Penguins,3,St. Louis Blues,5,NaN,NaN,NaN,0
1983-10-05,Hartford Whalers,3,Buffalo Sabres,5,NaN,NaN,NaN,0
1983-10-05,St. Louis Blues,3,Chicago Black Hawks,4,NaN,NaN,NaN,0
1983-10-05,Toronto Maple Leafs,4,Edmonton Oilers,5,NaN,NaN,NaN,0
1983-10-05,Minnesota North Stars,3,Los Angeles Kings,3,NaN,NaN,OT,0
1983-10-05,New Jersey Devils,2,New York Rangers,6,NaN,NaN,NaN,0
1983-10-05,Calgary Flames,5,Vancouver Canucks,3,NaN,NaN,NaN,0
1983-10-05,Detroit Red Wings,6,Winnipeg Jets,6,NaN,NaN,OT,0
1983-10-06,Quebec Nordiques,3,Boston Bruins,9,NaN,NaN,NaN,0
1983-10-06,New York Islanders,7,Montreal Canadiens,4,NaN,NaN,NaN,0
1983-10-06,Washington Capitals,1,Philadelphia Flyers,4,NaN,NaN,NaN,0
1983-10-07,New York Rangers,3,New Jersey Devils,1,NaN,NaN,NaN,0
1983-10-07,Minnesota North Stars,9,Vancouver Canucks,10,NaN,NaN,NaN,0
1983-10-07,Edmonton Oilers,8,Winnipeg Jets,6,NaN,NaN,NaN,0
1983-10-08,New Jersey Devils,6,Detroit Red Wings,3,NaN,NaN,NaN,0
1983-10-08,Boston Bruins,3,Hartford Whalers,4,NaN,NaN,NaN,0
1983-10-08,Toronto Maple Leafs,6,Los Angeles Kings,3,NaN,NaN,NaN,0
1983-10-08,Philadelphia Flyers,6,Montreal Canadiens,3,NaN,NaN,NaN,0
1983-10-08,New York Rangers,6,Pittsburgh Penguins,1,NaN,NaN,NaN,0
1983-10-08,Buffalo Sabres,2,Quebec Nordiques,9,NaN,NaN,NaN,0
1983-10-08,Chicago Black Hawks,1,St. Louis Blues,4,NaN,NaN,NaN,0
1983-10-08,New York Islanders,8,Washington Capitals,7,NaN,NaN,OT,0
1983-10-09,Hartford Whalers,1,Boston Bruins,4,NaN,NaN,NaN,0
1983-10-09,Washington Capitals,2,Buffalo Sabres,5,NaN,NaN,NaN,0
1983-10-09,Detroit Red Wings,4,Chicago Black Hawks,6,NaN,NaN,NaN,0
1983-10-09,Minnesota North Stars,3,Edmonton Oilers,4,NaN,NaN,OT,0
1983-10-09,Pittsburgh Penguins,1,Philadelphia Flyers,7,NaN,NaN,NaN,0
1983-10-09,Toronto Maple Leafs,4,Vancouver Canucks,7,NaN,NaN,NaN,0
1983-10-09,Calgary Flames,1,Winnipeg Jets,1,NaN,NaN,OT,0
1983-10-10,Los Angeles Kings,1,New York Rangers,2,NaN,NaN,NaN,0
1983-10-10,Montreal Canadiens,6,Quebec Nordiques,4,NaN,NaN,NaN,0
1983-10-11,Los Angeles Kings,2,New York Islanders,5,NaN,NaN,NaN,0
1983-10-11,Vancouver Canucks,2,St. Louis Blues,3,NaN,NaN,NaN,0
1983-10-12,Vancouver Canucks,1,Chicago Black Hawks,2,NaN,NaN,NaN,0
1983-10-12,Detroit Red Wings,3,Edmonton Oilers,8,NaN,NaN,NaN,0
1983-10-12,Calgary Flames,5,Minnesota North Stars,7,NaN,NaN,NaN,0
1983-10-12,Winnipeg Jets,4,Pittsburgh Penguins,3,NaN,NaN,OT,0
1983-10-12,Buffalo Sabres,4,Toronto Maple Leafs,4,NaN,NaN,OT,0
1983-10-13,Montreal Canadiens,2,Boston Bruins,4,NaN,NaN,NaN,0
1983-10-13,Quebec Nordiques,4,Hartford Whalers,4,NaN,NaN,OT,0
1983-10-13,Washington Capitals,3,New York Rangers,4,NaN,NaN,NaN,0
1983-10-13,Winnipeg Jets,3,Philadelphia Flyers,4,NaN,NaN,NaN,0
1983-10-13,Los Angeles Kings,4,St. Louis Blues,7,NaN,NaN,NaN,0
1983-10-14,Quebec Nordiques,6,New Jersey Devils,4,NaN,NaN,NaN,0
1983-10-14,Pittsburgh Penguins,4,Washington Capitals,0,NaN,NaN,NaN,0
1983-10-15,Buffalo Sabres,3,Boston Bruins,5,NaN,NaN,NaN,0
1983-10-15,Edmonton Oilers,4,Calgary Flames,3,NaN,NaN,NaN,0
1983-10-15,Detroit Red Wings,3,Los Angeles Kings,3,NaN,NaN,OT,0
1983-10-15,Winnipeg Jets,1,Minnesota North Stars,2,NaN,NaN,NaN,0
1983-10-15,Vancouver Canucks,4,Montreal Canadiens,5,NaN,NaN,NaN,0
1983-10-15,Philadelphia Flyers,5,New York Islanders,1,NaN,NaN,NaN,0
1983-10-15,Hartford Whalers,6,Pittsburgh Penguins,4,NaN,NaN,NaN,0
1983-10-15,New York Rangers,5,St. Louis Blues,6,NaN,NaN,NaN,0
1983-10-15,Chicago Black Hawks,8,Toronto Maple Leafs,10,NaN,NaN,NaN,0
1983-10-16,New York Islanders,3,Buffalo Sabres,2,NaN,NaN,NaN,0
