game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
2014-10-08,Philadelphia Flyers,1,Boston Bruins,2,"17,565",NaN,NaN,0
2014-10-08,Vancouver Canucks,4,Calgary Flames,2,"19,289",NaN,NaN,0
2014-10-08,San Jose Sharks,4,Los Angeles Kings,0,"18,514",NaN,NaN,0
2014-10-08,Montreal Canadiens,4,Toronto Maple Leafs,3,"19,745",NaN,NaN,0
2014-10-09,Winnipeg Jets,6,Arizona Coyotes,2,"17,125",NaN,NaN,0
2014-10-09,Columbus Blue Jackets,3,Buffalo Sabres,1,"18,215",NaN,NaN,0
2014-10-09,Chicago Blackhawks,3,Dallas Stars,2,"18,768",NaN,SO,0
2014-10-09,Boston Bruins,1,Detroit Red Wings,2,"20,027",NaN,NaN,0
2014-10-09,Calgary Flames,5,Edmonton Oilers,2,"16,839",NaN,NaN,0
2014-10-09,Colorado Avalanche,0,Minnesota Wild,5,"19,098",NaN,NaN,0
2014-10-09,Ottawa Senators,2,Nashville Predators,3,"17,113",NaN,NaN,0
2014-10-09,New Jersey Devils,6,Philadelphia Flyers,4,"19,801",NaN,NaN,0
2014-10-09,Anaheim Ducks,4,Pittsburgh Penguins,6,"18,633",NaN,NaN,0
2014-10-09,New York Rangers,3,St. Louis Blues,2,"19,183",NaN,NaN,0
2014-10-09,Florida Panthers,2,Tampa Bay Lightning,3,"19,204",NaN,OT,0
2014-10-09,Montreal Canadiens,2,Washington Capitals,1,"18,506",NaN,SO,0
2014-10-10,New York Islanders,5,Carolina Hurricanes,3,"18,680",NaN,NaN,0
2014-10-11,Los Angeles Kings,2,Arizona Coyotes,3,"12,859",NaN,OT,0
2014-10-11,Washington Capitals,4,Boston Bruins,0,"17,565",NaN,NaN,0
2014-10-11,New York Rangers,2,Columbus Blue Jackets,5,"18,922",NaN,NaN,0
2014-10-11,Buffalo Sabres,2,Chicago Blackhawks,6,"22,012",NaN,NaN,0
2014-10-11,Minnesota Wild,3,Colorado Avalanche,0,"18,139",NaN,NaN,0
2014-10-11,Anaheim Ducks,3,Detroit Red Wings,2,"20,027",NaN,NaN,0
2014-10-11,New Jersey Devils,5,Florida Panthers,1,"11,419",NaN,NaN,0
2014-10-11,Dallas Stars,1,Nashville Predators,4,"17,113",NaN,NaN,0
2014-10-11,Carolina Hurricanes,3,New York Islanders,4,"16,170",NaN,NaN,0
2014-10-11,Montreal Canadiens,4,Philadelphia Flyers,3,"19,745",NaN,SO,0
2014-10-11,Winnipeg Jets,0,San Jose Sharks,3,"17,562",NaN,NaN,0
2014-10-11,Calgary Flames,1,St. Louis Blues,4,"17,120",NaN,NaN,0
2014-10-11,Ottawa Senators,3,Tampa Bay Lightning,2,"19,204",NaN,SO,0
2014-10-11,Pittsburgh Penguins,5,Toronto Maple Leafs,2,"19,039",NaN,NaN,0
2014-10-11,Edmonton Oilers,4,Vancouver Canucks,5,"18,870",NaN,SO,0
2014-10-12,Winnipeg Jets,1,Los Angeles Kings,4,"18,230",NaN,NaN,0
2014-10-12,Toronto Maple Leafs,6,New York Rangers,3,"18,006",NaN,NaN,0
2014-10-13,Colorado Avalanche,2,Boston Bruins,1,"17,565",NaN,NaN,0
2014-10-13,Anaheim Ducks,5,Buffalo Sabres,1,"18,912",NaN,NaN,0
2014-10-13,Ottawa Senators,1,Florida Panthers,0,"7,311",NaN,NaN,0
2014-10-13,Montreal Canadiens,1,Tampa Bay Lightning,7,"17,622",NaN,NaN,0
2014-10-14,Buffalo Sabres,4,Carolina Hurricanes,3,"14,930",NaN,SO,0
2014-10-14,Dallas Stars,4,Columbus Blue Jackets,2,"15,995",NaN,NaN,0
2014-10-14,Edmonton Oilers,1,Los Angeles Kings,6,"18,230",NaN,NaN,0
2014-10-14,Calgary Flames,3,Nashville Predators,2,"15,654",NaN,SO,0
2014-10-14,New York Islanders,6,New York Rangers,3,"18,006",NaN,NaN,0
2014-10-14,Anaheim Ducks,4,Philadelphia Flyers,3,"19,589",NaN,SO,0
2014-10-14,New Jersey Devils,2,Tampa Bay Lightning,1,"18,064",NaN,NaN,0
2014-10-14,Colorado Avalanche,2,Toronto Maple Leafs,3,"18,754",NaN,OT,0
2014-10-14,San Jose Sharks,6,Washington Capitals,5,"18,506",NaN,SO,0
2014-10-15,Edmonton Oilers,4,Arizona Coyotes,7,"11,648",NaN,NaN,0
2014-10-15,Calgary Flames,2,Chicago Blackhawks,1,"21,112",NaN,OT,0
2014-10-15,Boston Bruins,3,Detroit Red Wings,2,"20,027",NaN,SO,0
2014-10-16,St. Louis Blues,0,Los Angeles Kings,1,"18,230",NaN,SO,0
2014-10-16,Boston Bruins,4,Montreal Canadiens,6,"21,287",NaN,NaN,0
