game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1993-10-05,New York Islanders,1,Calgary Flames,2,NaN,NaN,NaN,0
1993-10-05,Detroit Red Wings,4,Dallas Stars,6,NaN,NaN,NaN,0
1993-10-05,Boston Bruins,4,New York Rangers,3,NaN,NaN,NaN,0
1993-10-05,Pittsburgh Penguins,3,Philadelphia Flyers,4,NaN,NaN,NaN,0
1993-10-06,Florida Panthers,4,Chicago Blackhawks,4,NaN,NaN,OT,0
1993-10-06,San Jose Sharks,2,Edmonton Oilers,3,NaN,NaN,NaN,0
1993-10-06,Vancouver Canucks,5,Los Angeles Kings,2,NaN,NaN,NaN,0
1993-10-06,Hartford Whalers,3,Montreal Canadiens,4,NaN,NaN,NaN,0
1993-10-06,Tampa Bay Lightning,1,New Jersey Devils,2,NaN,NaN,NaN,0
1993-10-06,Quebec Nordiques,5,Ottawa Senators,5,NaN,NaN,OT,0
1993-10-06,Washington Capitals,4,Winnipeg Jets,6,NaN,NaN,NaN,0
1993-10-07,Buffalo Sabres,5,Boston Bruins,3,NaN,NaN,NaN,0
1993-10-07,San Jose Sharks,2,Calgary Flames,6,NaN,NaN,NaN,0
1993-10-07,Tampa Bay Lightning,4,New York Rangers,5,NaN,NaN,NaN,0
1993-10-07,Montreal Canadiens,1,Pittsburgh Penguins,2,NaN,NaN,OT,0
1993-10-07,Florida Panthers,3,St. Louis Blues,5,NaN,NaN,NaN,0
1993-10-07,Dallas Stars,3,Toronto Maple Leafs,6,NaN,NaN,NaN,0
1993-10-08,New York Islanders,1,Edmonton Oilers,5,NaN,NaN,NaN,0
1993-10-08,Detroit Red Wings,7,Mighty Ducks of Anaheim,2,NaN,NaN,NaN,0
1993-10-08,New Jersey Devils,6,Washington Capitals,3,NaN,NaN,NaN,0
1993-10-09,Quebec Nordiques,3,Boston Bruins,7,NaN,NaN,NaN,0
1993-10-09,Winnipeg Jets,3,Dallas Stars,3,NaN,NaN,OT,0
1993-10-09,Philadelphia Flyers,5,Hartford Whalers,2,NaN,NaN,NaN,0
1993-10-09,Detroit Red Wings,3,Los Angeles Kings,10,NaN,NaN,NaN,0
1993-10-09,Buffalo Sabres,4,Montreal Canadiens,7,NaN,NaN,NaN,0
1993-10-09,Washington Capitals,4,New Jersey Devils,6,NaN,NaN,NaN,0
1993-10-09,New York Rangers,2,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1993-10-09,Ottawa Senators,5,St. Louis Blues,7,NaN,NaN,NaN,0
1993-10-09,Florida Panthers,2,Tampa Bay Lightning,0,NaN,NaN,NaN,0
1993-10-09,Chicago Blackhawks,1,Toronto Maple Leafs,2,NaN,NaN,NaN,0
1993-10-09,Calgary Flames,5,Vancouver Canucks,1,NaN,NaN,NaN,0
1993-10-10,Hartford Whalers,3,Buffalo Sabres,2,NaN,NaN,NaN,0
1993-10-10,Winnipeg Jets,3,Chicago Blackhawks,4,NaN,NaN,OT,0
1993-10-10,San Jose Sharks,2,Los Angeles Kings,5,NaN,NaN,NaN,0
1993-10-10,New York Islanders,4,Mighty Ducks of Anaheim,3,NaN,NaN,OT,0
1993-10-10,Toronto Maple Leafs,5,Philadelphia Flyers,4,NaN,NaN,NaN,0
1993-10-10,Pittsburgh Penguins,4,Quebec Nordiques,7,NaN,NaN,NaN,0
1993-10-11,Montreal Canadiens,1,Boston Bruins,1,NaN,NaN,OT,0
1993-10-11,Washington Capitals,2,New York Rangers,5,NaN,NaN,NaN,0
1993-10-11,Edmonton Oilers,1,Vancouver Canucks,4,NaN,NaN,NaN,0
1993-10-12,Chicago Blackhawks,3,Dallas Stars,3,NaN,NaN,OT,0
1993-10-12,Pittsburgh Penguins,2,Florida Panthers,1,NaN,NaN,NaN,0
1993-10-12,New York Islanders,5,Los Angeles Kings,7,NaN,NaN,NaN,0
1993-10-12,Winnipeg Jets,4,New Jersey Devils,7,NaN,NaN,NaN,0
1993-10-12,Buffalo Sabres,3,Philadelphia Flyers,5,NaN,NaN,NaN,0
1993-10-13,St. Louis Blues,5,Detroit Red Wings,2,NaN,NaN,NaN,0
1993-10-13,Montreal Canadiens,3,Hartford Whalers,4,NaN,NaN,NaN,0
