game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
2023-10-10,Chicago Blackhawks,4,Pittsburgh Penguins,2,"18,411",2:34,NaN,0
2023-10-10,Nashville Predators,3,Tampa Bay Lightning,5,"19,092",2:33,NaN,0
2023-10-10,Seattle Kraken,1,Vegas Golden Knights,4,"18,724",2:22,NaN,0
2023-10-11,Chicago Blackhawks,1,Boston Bruins,3,"17,850",2:29,NaN,0
2023-10-11,Ottawa Senators,3,Carolina Hurricanes,5,"18,893",2:33,NaN,0
2023-10-11,Winnipeg Jets,3,Calgary Flames,5,"17,414",2:32,NaN,0
2023-10-11,Colorado Avalanche,5,Los Angeles Kings,2,"18,1 45",2:37,NaN,0
2023-10-11,Montreal Canadiens,5,Toronto Maple Leafs,6,"18,948",2:46,SO,0
2023-10-11,Edmonton Oilers,1,Vancouver Canucks,8,"18,706",2:33,NaN,0
2023-10-12,New York Rangers,5,Buffalo Sabres,1,"19,070",2:26,NaN,0
2023-10-12,Philadelphia Flyers,4,Columbus Blue Jackets,2,"18,614",2:26,NaN,0
2023-10-12,St. Louis Blues,1,Dallas Stars,2,"18,532",2:40,SO,0
2023-10-12,Florida Panthers,0,Minnesota Wild,2,"18,976",2:37,NaN,0
2023-10-12,Detroit Red Wings,3,New Jersey Devils,4,"16,514",2:29,NaN,0
2023-10-12,Seattle Kraken,0,Nashville Predators,3,"17,629",2:21,NaN,0
2023-10-12,Vegas Golden Knights,4,San Jose Sharks,1,"17,435",2:28,NaN,0
2023-10-13,Arizona Coyotes,4,New Jersey Devils,3,"16,514",2:43,SO,0
2023-10-13,Pittsburgh Penguins,4,Washington Capitals,0,"18,573",2:34,NaN,0
2023-10-14,Nashville Predators,2,Boston Bruins,3,"17,850",2:33,NaN,0
2023-10-14,New York Rangers,3,Columbus Blue Jackets,5,"16,520",2:34,NaN,0
2023-10-14,Tampa Bay Lightning,4,Detroit Red Wings,6,"19,515",2:28,NaN,0
2023-10-14,Vancouver Canucks,4,Edmonton Oilers,3,"18,347",2:30,NaN,0
2023-10-14,Carolina Hurricanes,6,Los Angeles Kings,5,"17,517",2:57,SO,0
2023-10-14,Chicago Blackhawks,2,Montreal Canadiens,3,"21,105",2:26,NaN,0
2023-10-14,Buffalo Sabres,2,New York Islanders,3,"17,255",2:29,NaN,0
2023-10-14,Philadelphia Flyers,2,Ottawa Senators,5,"20,011",2:30,NaN,0
2023-10-14,Calgary Flames,2,Pittsburgh Penguins,5,"17,635",2:30,NaN,0
2023-10-14,Colorado Avalanche,2,San Jose Sharks,1,"17,435",2:46,SO,0
2023-10-14,Seattle Kraken,1,St. Louis Blues,2,"18,096",2:33,SO,0
