game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1981-10-06,Detroit Red Wings,5,New York Rangers,2,NaN,NaN,NaN,0
1981-10-06,Hartford Whalers,5,Quebec Nordiques,6,NaN,NaN,NaN,0
1981-10-06,Pittsburgh Penguins,2,St. Louis Blues,6,NaN,NaN,NaN,0
1981-10-06,Colorado Rockies,2,Vancouver Canucks,4,NaN,NaN,NaN,0
1981-10-06,Toronto Maple Leafs,6,Winnipeg Jets,1,NaN,NaN,NaN,0
1981-10-07,Washington Capitals,3,Buffalo Sabres,5,NaN,NaN,NaN,0
1981-10-07,Pittsburgh Penguins,5,Chicago Black Hawks,5,NaN,NaN,NaN,0
1981-10-07,Colorado Rockies,4,Edmonton Oilers,7,NaN,NaN,NaN,0
1981-10-07,New York Islanders,4,Los Angeles Kings,1,NaN,NaN,NaN,0
1981-10-08,Quebec Nordiques,7,Boston Bruins,5,NaN,NaN,NaN,0
1981-10-08,Vancouver Canucks,1,Calgary Flames,1,NaN,NaN,NaN,0
1981-10-08,Toronto Maple Leafs,3,Minnesota North Stars,3,NaN,NaN,NaN,0
1981-10-08,Hartford Whalers,5,Montreal Canadiens,5,NaN,NaN,NaN,0
1981-10-09,Detroit Red Wings,2,Philadelphia Flyers,2,NaN,NaN,NaN,0
1981-10-09,Edmonton Oilers,2,Vancouver Canucks,6,NaN,NaN,NaN,0
1981-10-09,New York Rangers,3,Winnipeg Jets,8,NaN,NaN,NaN,0
1981-10-10,New York Islanders,2,Colorado Rockies,2,NaN,NaN,NaN,0
1981-10-10,Boston Bruins,1,Hartford Whalers,1,NaN,NaN,NaN,0
1981-10-10,Edmonton Oilers,7,Los Angeles Kings,4,NaN,NaN,NaN,0
1981-10-10,New York Rangers,0,Minnesota North Stars,7,NaN,NaN,NaN,0
1981-10-10,Buffalo Sabres,0,Montreal Canadiens,9,NaN,NaN,NaN,0
1981-10-10,Quebec Nordiques,1,Pittsburgh Penguins,2,NaN,NaN,NaN,0
1981-10-10,Calgary Flames,6,St. Louis Blues,4,NaN,NaN,NaN,0
1981-10-10,Chicago Black Hawks,8,Toronto Maple Leafs,9,NaN,NaN,NaN,0
1981-10-10,Detroit Red Wings,3,Washington Capitals,6,NaN,NaN,NaN,0
1981-10-11,Washington Capitals,3,Boston Bruins,6,NaN,NaN,NaN,0
1981-10-11,Vancouver Canucks,2,Buffalo Sabres,2,NaN,NaN,NaN,0
1981-10-11,Calgary Flames,0,Chicago Black Hawks,3,NaN,NaN,NaN,0
1981-10-11,Pittsburgh Penguins,2,Philadelphia Flyers,8,NaN,NaN,NaN,0
1981-10-12,Minnesota North Stars,4,Quebec Nordiques,2,NaN,NaN,NaN,0
1981-10-13,Calgary Flames,3,Los Angeles Kings,4,NaN,NaN,NaN,0
1981-10-14,Quebec Nordiques,2,Buffalo Sabres,4,NaN,NaN,NaN,0
1981-10-14,Boston Bruins,8,Chicago Black Hawks,5,NaN,NaN,NaN,0
1981-10-14,Winnipeg Jets,4,Edmonton Oilers,2,NaN,NaN,NaN,0
1981-10-14,Vancouver Canucks,1,New York Rangers,2,NaN,NaN,NaN,0
1981-10-14,New York Islanders,4,Pittsburgh Penguins,1,NaN,NaN,NaN,0
1981-10-14,Minnesota North Stars,2,Toronto Maple Leafs,1,NaN,NaN,NaN,0
1981-10-14,Philadelphia Flyers,5,Washington Capitals,4,NaN,NaN,NaN,0
1981-10-15,Winnipeg Jets,5,Calgary Flames,4,NaN,NaN,NaN,0
1981-10-15,St. Louis Blues,3,Detroit Red Wings,6,NaN,NaN,NaN,0
1981-10-15,Montreal Canadiens,7,Hartford Whalers,2,NaN,NaN,NaN,0
1981-10-15,Colorado Rockies,2,Los Angeles Kings,10,NaN,NaN,NaN,0
1981-10-15,Vancouver Canucks,1,New York Islanders,4,NaN,NaN,NaN,0
1981-10-15,Washington Capitals,2,Philadelphia Flyers,5,NaN,NaN,NaN,0
1981-10-16,Boston Bruins,6,Colorado Rockies,1,NaN,NaN,NaN,0
1981-10-16,Calgary Flames,4,Edmonton Oilers,8,NaN,NaN,NaN,0
1981-10-17,Detroit Red Wings,1,Hartford Whalers,8,NaN,NaN,NaN,0
1981-10-17,Boston Bruins,5,Los Angeles Kings,4,NaN,NaN,NaN,0
1981-10-17,Vancouver Canucks,4,Montreal Canadiens,10,NaN,NaN,NaN,0
1981-10-17,New York Rangers,4,New York Islanders,5,NaN,NaN,NaN,0
1981-10-17,Minnesota North Stars,2,Pittsburgh Penguins,5,NaN,NaN,NaN,0
1981-10-17,Toronto Maple Leafs,4,Quebec Nordiques,6,NaN,NaN,NaN,0
1981-10-17,Chicago Black Hawks,3,St. Louis Blues,7,NaN,NaN,NaN,0
1981-10-17,Buffalo Sabres,4,Washington Capitals,2,NaN,NaN,NaN,0
1981-10-18,Montreal Canadiens,3,Buffalo Sabres,3,NaN,NaN,NaN,0
1981-10-18,Edmonton Oilers,5,Chicago Black Hawks,7,NaN,NaN,NaN,0
1981-10-18,Pittsburgh Penguins,2,Detroit Red Wings,3,NaN,NaN,NaN,0
1981-10-18,St. Louis Blues,3,New York Rangers,5,NaN,NaN,NaN,0
1981-10-18,Minnesota North Stars,2,Philadelphia Flyers,3,NaN,NaN,NaN,0
1981-10-18,Colorado Rockies,4,Winnipeg Jets,3,NaN,NaN,NaN,0
1981-10-19,Vancouver Canucks,3,Quebec Nordiques,6,NaN,NaN,NaN,0
1981-10-20,Edmonton Oilers,5,Calgary Flames,4,NaN,NaN,NaN,0
1981-10-20,Los Angeles Kings,9,New York Islanders,6,NaN,NaN,NaN,0
1981-10-20,Colorado Rockies,3,Pittsburgh Penguins,5,NaN,NaN,NaN,0
1981-10-20,Boston Bruins,4,St. Louis Blues,3,NaN,NaN,NaN,0
1981-10-21,Winnipeg Jets,2,Buffalo Sabres,2,NaN,NaN,NaN,0
1981-10-21,Montreal Canadiens,3,Chicago Black Hawks,3,NaN,NaN,NaN,0
1981-10-21,Hartford Whalers,2,Edmonton Oilers,5,NaN,NaN,NaN,0
1981-10-21,Los Angeles Kings,5,New York Rangers,2,NaN,NaN,NaN,0
1981-10-21,Colorado Rockies,4,Toronto Maple Leafs,4,NaN,NaN,NaN,0
1981-10-21,Quebec Nordiques,6,Washington Capitals,3,NaN,NaN,NaN,0
1981-10-22,Pittsburgh Penguins,3,Calgary Flames,3,NaN,NaN,NaN,0
1981-10-22,Boston Bruins,2,Detroit Red Wings,2,NaN,NaN,NaN,0
1981-10-22,St. Louis Blues,5,Minnesota North Stars,5,NaN,NaN,NaN,0
1981-10-22,Quebec Nordiques,2,Philadelphia Flyers,3,NaN,NaN,NaN,0
1981-10-23,Toronto Maple Leafs,2,Buffalo Sabres,6,NaN,NaN,NaN,0
1981-10-23,Pittsburgh Penguins,3,Edmonton Oilers,8,NaN,NaN,NaN,0
1981-10-23,Hartford Whalers,2,Vancouver Canucks,2,NaN,NaN,NaN,0
1981-10-23,Chicago Black Hawks,5,Winnipeg Jets,5,NaN,NaN,NaN,0
1981-10-23,New York Islanders,4,Washington Capitals,2,NaN,NaN,NaN,0
1981-10-24,Hartford Whalers,3,Calgary Flames,7,NaN,NaN,NaN,0
1981-10-24,Edmonton Oilers,3,Colorado Rockies,1,NaN,NaN,NaN,0
1981-10-24,Los Angeles Kings,3,Minnesota North Stars,6,NaN,NaN,NaN,0
1981-10-24,Boston Bruins,0,Montreal Canadiens,7,NaN,NaN,NaN,0
1981-10-24,Washington Capitals,4,New York Islanders,6,NaN,NaN,NaN,0
1981-10-24,Detroit Red Wings,3,Quebec Nordiques,8,NaN,NaN,NaN,0
1981-10-24,Philadelphia Flyers,6,St. Louis Blues,3,NaN,NaN,NaN,0
1981-10-24,New York Rangers,5,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1981-10-25,Minnesota North Stars,6,Buffalo Sabres,3,NaN,NaN,NaN,0
1981-10-25,St. Louis Blues,4,Chicago Black Hawks,4,NaN,NaN,NaN,0
1981-10-25,Philadelphia Flyers,4,Detroit Red Wings,1,NaN,NaN,NaN,0
1981-10-25,Montreal Canadiens,4,New York Rangers,2,NaN,NaN,NaN,0
1981-10-25,Pittsburgh Penguins,6,Vancouver Canucks,4,NaN,NaN,NaN,0
1981-10-25,Los Angeles Kings,4,Winnipeg Jets,9,NaN,NaN,NaN,0
1981-10-27,Quebec Nordiques,7,Los Angeles Kings,8,NaN,NaN,NaN,0
1981-10-27,Philadelphia Flyers,2,Montreal Canadiens,11,NaN,NaN,NaN,0
1981-10-27,Edmonton Oilers,3,New York Islanders,4,NaN,NaN,NaN,0
1981-10-27,Toronto Maple Leafs,5,St. Louis Blues,7,NaN,NaN,NaN,0
1981-10-28,St. Louis Blues,2,Buffalo Sabres,6,NaN,NaN,NaN,0
1981-10-28,Winnipeg Jets,6,Chicago Black Hawks,7,NaN,NaN,NaN,0
1981-10-28,Quebec Nordiques,3,Colorado Rockies,1,NaN,NaN,NaN,0
1981-10-28,Calgary Flames,1,Minnesota North Stars,6,NaN,NaN,NaN,0
1981-10-28,Edmonton Oilers,5,New York Rangers,3,NaN,NaN,NaN,0
1981-10-28,Toronto Maple Leafs,5,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1981-10-28,Washington Capitals,0,Vancouver Canucks,3,NaN,NaN,NaN,0
1981-10-29,Montreal Canadiens,5,Boston Bruins,5,NaN,NaN,NaN,0
1981-10-29,Calgary Flames,4,Detroit Red Wings,12,NaN,NaN,NaN,0
1981-10-29,New York Islanders,6,Hartford Whalers,6,NaN,NaN,NaN,0
1981-10-29,Washington Capitals,3,Los Angeles Kings,4,NaN,NaN,NaN,0
1981-10-29,Pittsburgh Penguins,4,Philadelphia Flyers,6,NaN,NaN,NaN,0
1981-10-31,New York Rangers,3,Boston Bruins,7,NaN,NaN,NaN,0
1981-10-31,Washington Capitals,4,Colorado Rockies,6,NaN,NaN,NaN,0
1981-10-31,Quebec Nordiques,4,Edmonton Oilers,11,NaN,NaN,NaN,0
1981-10-31,Chicago Black Hawks,2,Hartford Whalers,2,NaN,NaN,NaN,0
1981-10-31,Detroit Red Wings,4,Minnesota North Stars,5,NaN,NaN,NaN,0
1981-10-31,New York Islanders,2,Montreal Canadiens,1,NaN,NaN,NaN,0
1981-10-31,Vancouver Canucks,8,Philadelphia Flyers,4,NaN,NaN,NaN,0
1981-10-31,Buffalo Sabres,1,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1981-10-31,Los Angeles Kings,4,St. Louis Blues,5,NaN,NaN,NaN,0
1981-10-31,Winnipeg Jets,6,Toronto Maple Leafs,5,NaN,NaN,NaN,0
1981-11-01,Hartford Whalers,1,Boston Bruins,4,NaN,NaN,NaN,0
1981-11-01,Philadelphia Flyers,2,Buffalo Sabres,6,NaN,NaN,NaN,0
1981-11-01,Toronto Maple Leafs,4,Chicago Black Hawks,9,NaN,NaN,NaN,0
1981-11-01,Vancouver Canucks,1,Detroit Red Wings,3,NaN,NaN,NaN,0
1981-11-01,Calgary Flames,2,New York Rangers,4,NaN,NaN,NaN,0
1981-11-02,Montreal Canadiens,4,Quebec Nordiques,5,NaN,NaN,NaN,0
1981-11-03,Winnipeg Jets,5,Colorado Rockies,3,NaN,NaN,NaN,0
1981-11-03,Calgary Flames,2,New York Islanders,2,NaN,NaN,NaN,0
1981-11-04,Calgary Flames,3,Buffalo Sabres,3,NaN,NaN,NaN,0
1981-11-04,Los Angeles Kings,4,Chicago Black Hawks,5,NaN,NaN,NaN,0
1981-11-04,Toronto Maple Leafs,4,Edmonton Oilers,6,NaN,NaN,NaN,0
1981-11-04,Vancouver Canucks,4,Hartford Whalers,1,NaN,NaN,NaN,0
1981-11-04,New York Rangers,3,Pittsburgh Penguins,6,NaN,NaN,NaN,0
1981-11-04,St. Louis Blues,2,Quebec Nordiques,6,NaN,NaN,NaN,0
1981-11-04,Minnesota North Stars,6,Washington Capitals,1,NaN,NaN,NaN,0
1981-11-05,Vancouver Canucks,1,Boston Bruins,2,NaN,NaN,NaN,0
1981-11-05,Los Angeles Kings,2,Detroit Red Wings,10,NaN,NaN,NaN,0
1981-11-05,St. Louis Blues,3,Montreal Canadiens,4,NaN,NaN,NaN,0
1981-11-05,New York Rangers,6,Philadelphia Flyers,2,NaN,NaN,NaN,0
1981-11-06,Toronto Maple Leafs,4,Colorado Rockies,4,NaN,NaN,NaN,0
1981-11-06,Chicago Black Hawks,3,Winnipeg Jets,4,NaN,NaN,NaN,0
1981-11-07,Colorado Rockies,5,Edmonton Oilers,4,NaN,NaN,NaN,0
1981-11-07,Minnesota North Stars,2,Hartford Whalers,4,NaN,NaN,NaN,0
1981-11-07,Toronto Maple Leafs,9,Los Angeles Kings,4,NaN,NaN,NaN,0
1981-11-07,Detroit Red Wings,2,Montreal Canadiens,4,NaN,NaN,NaN,0
1981-11-07,Buffalo Sabres,6,New York Islanders,2,NaN,NaN,NaN,0
1981-11-07,Philadelphia Flyers,2,Pittsburgh Penguins,7,NaN,NaN,NaN,0
1981-11-07,Boston Bruins,10,Quebec Nordiques,1,NaN,NaN,NaN,0
1981-11-07,Calgary Flames,2,St. Louis Blues,4,NaN,NaN,NaN,0
1981-11-07,New York Rangers,3,Washington Capitals,1,NaN,NaN,NaN,0
1981-11-08,Minnesota North Stars,4,Boston Bruins,1,NaN,NaN,NaN,0
1981-11-08,Hartford Whalers,2,Buffalo Sabres,2,NaN,NaN,NaN,0
1981-11-08,Calgary Flames,4,Chicago Black Hawks,10,NaN,NaN,NaN,0
1981-11-08,Winnipeg Jets,1,Vancouver Canucks,5,NaN,NaN,NaN,0
1981-11-09,Detroit Red Wings,3,Quebec Nordiques,5,NaN,NaN,NaN,0
1981-11-10,St. Louis Blues,7,Calgary Flames,0,NaN,NaN,NaN,0
1981-11-10,Montreal Canadiens,2,Los Angeles Kings,4,NaN,NaN,NaN,0
1981-11-10,New York Islanders,5,Winnipeg Jets,3,NaN,NaN,NaN,0
1981-11-11,Detroit Red Wings,5,Chicago Black Hawks,5,NaN,NaN,NaN,0
1981-11-11,Montreal Canadiens,9,Colorado Rockies,0,NaN,NaN,NaN,0
1981-11-11,Edmonton Oilers,4,Hartford Whalers,4,NaN,NaN,NaN,0
1981-11-11,Winnipeg Jets,2,Minnesota North Stars,15,NaN,NaN,NaN,0
1981-11-11,Buffalo Sabres,3,New York Rangers,7,NaN,NaN,NaN,0
1981-11-11,New York Islanders,4,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1981-11-11,Quebec Nordiques,5,Vancouver Canucks,6,NaN,NaN,NaN,0
1981-11-11,Pittsburgh Penguins,3,Washington Capitals,2,NaN,NaN,NaN,0
1981-11-12,Edmonton Oilers,2,Boston Bruins,5,NaN,NaN,NaN,0
1981-11-12,Quebec Nordiques,2,Calgary Flames,3,NaN,NaN,NaN,0
1981-11-12,St. Louis Blues,2,Los Angeles Kings,5,NaN,NaN,NaN,0
1981-11-12,Hartford Whalers,3,Philadelphia Flyers,5,NaN,NaN,NaN,0
1981-11-13,New York Rangers,3,Buffalo Sabres,3,NaN,NaN,NaN,0
1981-11-13,Detroit Red Wings,3,Washington Capitals,3,NaN,NaN,NaN,0
1981-11-14,Pittsburgh Penguins,3,Boston Bruins,3,NaN,NaN,NaN,0
1981-11-14,St. Louis Blues,4,Colorado Rockies,2,NaN,NaN,NaN,0
1981-11-14,Chicago Black Hawks,3,Detroit Red Wings,6,NaN,NaN,NaN,0
1981-11-14,Washington Capitals,4,Hartford Whalers,0,NaN,NaN,NaN,0
1981-11-14,Winnipeg Jets,3,Los Angeles Kings,2,NaN,NaN,NaN,0
1981-11-14,Quebec Nordiques,5,Minnesota North Stars,5,NaN,NaN,NaN,0
1981-11-14,Edmonton Oilers,5,New York Islanders,5,NaN,NaN,NaN,0
1981-11-14,Philadelphia Flyers,0,Toronto Maple Leafs,4,NaN,NaN,NaN,0
1981-11-14,Montreal Canadiens,4,Vancouver Canucks,1,NaN,NaN,NaN,0
1981-11-15,Boston Bruins,1,Buffalo Sabres,3,NaN,NaN,NaN,0
1981-11-15,Colorado Rockies,0,Chicago Black Hawks,10,NaN,NaN,NaN,0
1981-11-15,Vancouver Canucks,7,Calgary Flames,4,NaN,NaN,NaN,0
1981-11-15,Edmonton Oilers,5,New York Rangers,3,NaN,NaN,NaN,0
1981-11-15,New York Islanders,4,Philadelphia Flyers,5,NaN,NaN,NaN,0
1981-11-17,Winnipeg Jets,4,Calgary Flames,6,NaN,NaN,NaN,0
1981-11-17,New York Islanders,2,Quebec Nordiques,7,NaN,NaN,NaN,0
1981-11-17,Edmonton Oilers,5,St. Louis Blues,1,NaN,NaN,NaN,0
1981-11-18,Buffalo Sabres,3,Chicago Black Hawks,4,NaN,NaN,NaN,0
1981-11-18,Toronto Maple Leafs,5,Hartford Whalers,8,NaN,NaN,NaN,0
1981-11-18,Detroit Red Wings,1,Los Angeles Kings,8,NaN,NaN,NaN,0
1981-11-18,Philadelphia Flyers,2,New York Rangers,5,NaN,NaN,NaN,0
1981-11-18,St. Louis Blues,1,Pittsburgh Penguins,6,NaN,NaN,NaN,0
1981-11-18,Minnesota North Stars,6,Winnipeg Jets,4,NaN,NaN,NaN,0
1981-11-18,Colorado Rockies,1,Washington Capitals,7,NaN,NaN,NaN,0
1981-11-19,Hartford Whalers,1,Boston Bruins,6,NaN,NaN,NaN,0
1981-11-19,Los Angeles Kings,3,Calgary Flames,6,NaN,NaN,NaN,0
1981-11-19,Edmonton Oilers,2,Minnesota North Stars,2,NaN,NaN,NaN,0
1981-11-19,Quebec Nordiques,1,Montreal Canadiens,1,NaN,NaN,NaN,0
1981-11-19,Detroit Red Wings,3,Vancouver Canucks,8,NaN,NaN,NaN,0
1981-11-20,Buffalo Sabres,4,Colorado Rockies,3,NaN,NaN,NaN,0
1981-11-20,Toronto Maple Leafs,3,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1981-11-21,Detroit Red Wings,4,Calgary Flames,4,NaN,NaN,NaN,0
1981-11-21,Vancouver Canucks,3,Edmonton Oilers,8,NaN,NaN,NaN,0
1981-11-21,Buffalo Sabres,7,Los Angeles Kings,1,NaN,NaN,NaN,0
1981-11-21,Chicago Black Hawks,6,Minnesota North Stars,4,NaN,NaN,NaN,0
1981-11-21,Pittsburgh Penguins,5,Montreal Canadiens,9,NaN,NaN,NaN,0
1981-11-21,New York Rangers,3,New York Islanders,4,NaN,NaN,NaN,0
1981-11-21,Hartford Whalers,3,Quebec Nordiques,7,NaN,NaN,NaN,0
1981-11-21,Winnipeg Jets,1,St. Louis Blues,1,NaN,NaN,NaN,0
1981-11-21,Boston Bruins,5,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1981-11-21,Philadelphia Flyers,4,Washington Capitals,10,NaN,NaN,NaN,0
1981-11-22,Quebec Nordiques,6,Boston Bruins,1,NaN,NaN,NaN,0
1981-11-22,Minnesota North Stars,1,Chicago Black Hawks,1,NaN,NaN,NaN,0
1981-11-22,New York Islanders,7,New York Rangers,2,NaN,NaN,NaN,0
1981-11-22,Washington Capitals,3,Philadelphia Flyers,2,NaN,NaN,NaN,0
1981-11-22,Colorado Rockies,5,Vancouver Canucks,5,NaN,NaN,NaN,0
1981-11-22,St. Louis Blues,4,Winnipeg Jets,5,NaN,NaN,NaN,0
1981-11-23,Detroit Red Wings,4,Edmonton Oilers,8,NaN,NaN,NaN,0
1981-11-24,Colorado Rockies,2,Calgary Flames,9,NaN,NaN,NaN,0
1981-11-24,Boston Bruins,1,New York Islanders,3,NaN,NaN,NaN,0
1981-11-24,Toronto Maple Leafs,3,Philadelphia Flyers,6,NaN,NaN,NaN,0
1981-11-24,Pittsburgh Penguins,7,Quebec Nordiques,1,NaN,NaN,NaN,0
1981-11-24,Montreal Canadiens,2,St. Louis Blues,2,NaN,NaN,NaN,0
1981-11-25,Buffalo Sabres,3,Detroit Red Wings,1,NaN,NaN,NaN,0
1981-11-25,Los Angeles Kings,4,Edmonton Oilers,11,NaN,NaN,NaN,0
1981-11-25,Quebec Nordiques,3,Hartford Whalers,3,NaN,NaN,NaN,0
1981-11-25,Washington Capitals,4,Minnesota North Stars,4,NaN,NaN,NaN,0
1981-11-25,Toronto Maple Leafs,3,New York Rangers,3,NaN,NaN,NaN,0
1981-11-25,Montreal Canadiens,1,Pittsburgh Penguins,2,NaN,NaN,NaN,0
1981-11-25,Chicago Black Hawks,2,Vancouver Canucks,6,NaN,NaN,NaN,0
1981-11-25,Colorado Rockies,2,Winnipeg Jets,7,NaN,NaN,NaN,0
1981-11-26,Philadelphia Flyers,3,Boston Bruins,1,NaN,NaN,NaN,0
1981-11-26,Los Angeles Kings,1,Calgary Flames,7,NaN,NaN,NaN,0
1981-11-26,St. Louis Blues,2,New York Islanders,9,NaN,NaN,NaN,0
1981-11-27,Vancouver Canucks,6,Colorado Rockies,3,NaN,NaN,NaN,0
1981-11-27,Chicago Black Hawks,1,Edmonton Oilers,8,NaN,NaN,NaN,0
1981-11-27,Minnesota North Stars,5,Winnipeg Jets,5,NaN,NaN,NaN,0
1981-11-27,Montreal Canadiens,2,Washington Capitals,5,NaN,NaN,NaN,0
1981-11-28,New York Islanders,4,Boston Bruins,5,NaN,NaN,NaN,0
1981-11-28,Chicago Black Hawks,4,Calgary Flames,4,NaN,NaN,NaN,0
1981-11-28,Washington Capitals,2,Hartford Whalers,6,NaN,NaN,NaN,0
1981-11-28,Vancouver Canucks,2,Los Angeles Kings,3,NaN,NaN,NaN,0
1981-11-28,Philadelphia Flyers,3,Minnesota North Stars,5,NaN,NaN,NaN,0
1981-11-28,Detroit Red Wings,3,Pittsburgh Penguins,5,NaN,NaN,NaN,0
1981-11-28,New York Rangers,4,Quebec Nordiques,7,NaN,NaN,NaN,0
1981-11-28,Colorado Rockies,2,St. Louis Blues,4,NaN,NaN,NaN,0
1981-11-28,Buffalo Sabres,4,Toronto Maple Leafs,4,NaN,NaN,NaN,0
1981-11-29,New York Islanders,2,Buffalo Sabres,5,NaN,NaN,NaN,0
1981-11-29,Toronto Maple Leafs,6,Detroit Red Wings,3,NaN,NaN,NaN,0
1981-11-29,Hartford Whalers,3,Montreal Canadiens,6,NaN,NaN,NaN,0
1981-11-29,Quebec Nordiques,4,New York Rangers,4,NaN,NaN,NaN,0
1981-11-29,Edmonton Oilers,10,Winnipeg Jets,2,NaN,NaN,NaN,0
1981-11-30,Colorado Rockies,2,Minnesota North Stars,2,NaN,NaN,NaN,0
1981-12-01,Edmonton Oilers,3,Montreal Canadiens,3,NaN,NaN,NaN,0
1981-12-01,Winnipeg Jets,1,Philadelphia Flyers,2,NaN,NaN,NaN,0
1981-12-01,Detroit Red Wings,5,St. Louis Blues,7,NaN,NaN,NaN,0
1981-12-02,Chicago Black Hawks,2,Colorado Rockies,3,NaN,NaN,NaN,0
1981-12-02,New York Rangers,4,Los Angeles Kings,3,NaN,NaN,NaN,0
1981-12-02,Winnipeg Jets,2,Pittsburgh Penguins,4,NaN,NaN,NaN,0
1981-12-02,Edmonton Oilers,8,Quebec Nordiques,9,NaN,NaN,NaN,0
1981-12-02,Hartford Whalers,5,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1981-12-02,Minnesota North Stars,0,Vancouver Canucks,5,NaN,NaN,NaN,0
1981-12-02,Calgary Flames,3,Washington Capitals,9,NaN,NaN,NaN,0
1981-12-03,Buffalo Sabres,3,Boston Bruins,6,NaN,NaN,NaN,0
1981-12-03,Montreal Canadiens,3,Detroit Red Wings,4,NaN,NaN,NaN,0
1981-12-03,Calgary Flames,1,Philadelphia Flyers,6,NaN,NaN,NaN,0
1981-12-04,Vancouver Canucks,3,Edmonton Oilers,7,NaN,NaN,NaN,0
