game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1979-10-09,St. Louis Blues,5,Vancouver Canucks,2,NaN,NaN,NaN,0
1979-10-10,Edmonton Oilers,2,Chicago Black Hawks,4,NaN,NaN,NaN,0
1979-10-10,Detroit Red Wings,4,Los Angeles Kings,4,NaN,NaN,NaN,0
1979-10-10,Winnipeg Jets,2,Pittsburgh Penguins,4,NaN,NaN,NaN,0
1979-10-10,Atlanta Flames,5,Quebec Nordiques,3,NaN,NaN,NaN,0
1979-10-10,New York Rangers,6,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1979-10-11,Winnipeg Jets,0,Boston Bruins,4,NaN,NaN,NaN,0
1979-10-11,Washington Capitals,3,Buffalo Sabres,6,NaN,NaN,NaN,0
1979-10-11,St. Louis Blues,3,Colorado Rockies,3,NaN,NaN,NaN,0
1979-10-11,Hartford Whalers,1,Minnesota North Stars,4,NaN,NaN,NaN,0
1979-10-11,Atlanta Flames,1,Montreal Canadiens,3,NaN,NaN,NaN,0
1979-10-11,New York Islanders,2,Philadelphia Flyers,5,NaN,NaN,NaN,0
1979-10-12,Detroit Red Wings,1,Vancouver Canucks,3,NaN,NaN,NaN,0
1979-10-13,Philadelphia Flyers,2,Atlanta Flames,9,NaN,NaN,NaN,0
1979-10-13,Detroit Red Wings,3,Edmonton Oilers,3,NaN,NaN,NaN,0
1979-10-13,St. Louis Blues,3,Los Angeles Kings,5,NaN,NaN,NaN,0
1979-10-13,Chicago Black Hawks,1,Minnesota North Stars,5,NaN,NaN,NaN,0
1979-10-13,Quebec Nordiques,1,Montreal Canadiens,3,NaN,NaN,NaN,0
1979-10-13,Buffalo Sabres,5,New York Islanders,2,NaN,NaN,NaN,0
1979-10-13,Hartford Whalers,3,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1979-10-13,Colorado Rockies,1,Toronto Maple Leafs,2,NaN,NaN,NaN,0
1979-10-13,Boston Bruins,5,Washington Capitals,2,NaN,NaN,NaN,0
1979-10-14,Pittsburgh Penguins,4,Boston Bruins,1,NaN,NaN,NaN,0
1979-10-14,Minnesota North Stars,5,Buffalo Sabres,4,NaN,NaN,NaN,0
1979-10-14,Hartford Whalers,3,Chicago Black Hawks,3,NaN,NaN,NaN,0
1979-10-14,Vancouver Canucks,4,Edmonton Oilers,4,NaN,NaN,NaN,0
1979-10-14,Washington Capitals,5,New York Rangers,3,NaN,NaN,NaN,0
