game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1980-10-09,New York Rangers,2,Boston Bruins,7,NaN,NaN,NaN,0
1980-10-09,Buffalo Sabres,3,Chicago Black Hawks,4,NaN,NaN,NaN,0
1980-10-09,Quebec Nordiques,5,Calgary Flames,5,NaN,NaN,NaN,0
1980-10-09,Pittsburgh Penguins,4,Philadelphia Flyers,7,NaN,NaN,NaN,0
1980-10-09,Hartford Whalers,6,St. Louis Blues,8,NaN,NaN,NaN,0
1980-10-10,Quebec Nordiques,7,Edmonton Oilers,4,NaN,NaN,NaN,0
1980-10-10,Detroit Red Wings,3,Vancouver Canucks,5,NaN,NaN,NaN,0
1980-10-10,Winnipeg Jets,1,Washington Capitals,4,NaN,NaN,NaN,0
1980-10-11,Calgary Flames,2,Colorado Rockies,6,NaN,NaN,NaN,0
1980-10-11,Detroit Red Wings,1,Los Angeles Kings,8,NaN,NaN,NaN,0
1980-10-11,Hartford Whalers,3,Minnesota North Stars,9,NaN,NaN,NaN,0
1980-10-11,Chicago Black Hawks,5,Montreal Canadiens,4,NaN,NaN,NaN,0
1980-10-11,Boston Bruins,2,New York Islanders,5,NaN,NaN,NaN,0
1980-10-11,Winnipeg Jets,4,Pittsburgh Penguins,5,NaN,NaN,NaN,0
1980-10-11,Philadelphia Flyers,5,St. Louis Blues,1,NaN,NaN,NaN,0
1980-10-11,New York Rangers,8,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1980-10-12,Montreal Canadiens,2,Boston Bruins,3,NaN,NaN,NaN,0
1980-10-12,Hartford Whalers,3,Buffalo Sabres,3,NaN,NaN,NaN,0
1980-10-12,Calgary Flames,3,Chicago Black Hawks,3,NaN,NaN,NaN,0
1980-10-12,Colorado Rockies,3,Edmonton Oilers,2,NaN,NaN,NaN,0
1980-10-12,Pittsburgh Penguins,6,New York Rangers,3,NaN,NaN,NaN,0
1980-10-12,Toronto Maple Leafs,4,Philadelphia Flyers,2,NaN,NaN,NaN,0
1980-10-12,Quebec Nordiques,2,Vancouver Canucks,8,NaN,NaN,NaN,0
