game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1986-10-09,Calgary Flames,5,Boston Bruins,3,NaN,NaN,NaN,0
1986-10-09,New York Islanders,2,Chicago Blackhawks,3,NaN,NaN,NaN,0
1986-10-09,St. Louis Blues,4,Los Angeles Kings,3,NaN,NaN,NaN,0
1986-10-09,New Jersey Devils,5,New York Rangers,3,NaN,NaN,NaN,0
1986-10-09,Edmonton Oilers,1,Philadelphia Flyers,2,NaN,NaN,NaN,0
1986-10-09,Washington Capitals,4,Pittsburgh Penguins,5,NaN,NaN,NaN,0
1986-10-09,Detroit Red Wings,1,Quebec Nordiques,6,NaN,NaN,NaN,0
1986-10-09,Montreal Canadiens,4,Toronto Maple Leafs,7,NaN,NaN,NaN,0
1986-10-09,Buffalo Sabres,2,Winnipeg Jets,3,NaN,NaN,NaN,0
1986-10-11,Chicago Blackhawks,3,Detroit Red Wings,4,NaN,NaN,NaN,0
1986-10-11,Calgary Flames,5,Hartford Whalers,6,NaN,NaN,NaN,0
1986-10-11,New York Islanders,4,Los Angeles Kings,5,NaN,NaN,NaN,0
1986-10-11,Edmonton Oilers,5,Montreal Canadiens,4,NaN,NaN,OT,0
1986-10-11,Boston Bruins,4,New Jersey Devils,5,NaN,NaN,NaN,0
1986-10-11,New York Rangers,5,Pittsburgh Penguins,6,NaN,NaN,OT,0
1986-10-11,Minnesota North Stars,4,Quebec Nordiques,4,NaN,NaN,OT,0
1986-10-11,Buffalo Sabres,5,Toronto Maple Leafs,5,NaN,NaN,OT,0
1986-10-11,St. Louis Blues,3,Vancouver Canucks,4,NaN,NaN,NaN,0
1986-10-11,Philadelphia Flyers,6,Washington Capitals,1,NaN,NaN,NaN,0
1986-10-12,Hartford Whalers,2,Boston Bruins,7,NaN,NaN,NaN,0
1986-10-12,Calgary Flames,4,Buffalo Sabres,2,NaN,NaN,NaN,0
1986-10-12,Pittsburgh Penguins,4,Chicago Blackhawks,1,NaN,NaN,NaN,0
