game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
2013-10-01,Washington Capitals,4,Chicago Blackhawks,6,"22,158",NaN,NaN,0
2013-10-01,Winnipeg Jets,5,Edmonton Oilers,4,"16,839",NaN,NaN,0
2013-10-01,Toronto Maple Leafs,4,Montreal Canadiens,3,"21,273",NaN,NaN,0
2013-10-02,Anaheim Ducks,1,Colorado Avalanche,6,"18,007",NaN,NaN,0
2013-10-02,Buffalo Sabres,1,Detroit Red Wings,2,"20,066",NaN,NaN,0
2013-10-02,Toronto Maple Leafs,3,Philadelphia Flyers,1,"19,872",NaN,NaN,0
2013-10-03,Tampa Bay Lightning,1,Boston Bruins,3,"17,565",NaN,NaN,0
2013-10-03,Florida Panthers,4,Dallas Stars,2,"16,100",NaN,NaN,0
2013-10-03,Los Angeles Kings,3,Minnesota Wild,2,"18,511",NaN,SO,0
2013-10-03,New York Rangers,1,Phoenix Coyotes,4,"17,125",NaN,NaN,0
2013-10-03,New Jersey Devils,0,Pittsburgh Penguins,3,"18,621",NaN,NaN,0
2013-10-03,Vancouver Canucks,1,San Jose Sharks,4,"17,562",NaN,NaN,0
2013-10-03,Nashville Predators,2,St. Louis Blues,4,"18,851",NaN,NaN,0
2013-10-03,Calgary Flames,4,Washington Capitals,5,"18,506",NaN,SO,0
2013-10-04,Ottawa Senators,1,Buffalo Sabres,0,"19,070",NaN,NaN,0
2013-10-04,Detroit Red Wings,3,Carolina Hurricanes,2,"18,680",NaN,OT,0
2013-10-04,Calgary Flames,4,Columbus Blue Jackets,3,"18,151",NaN,NaN,0
2013-10-04,Nashville Predators,1,Colorado Avalanche,3,"14,494",NaN,NaN,0
2013-10-04,New York Islanders,4,New Jersey Devils,3,"16,624",NaN,SO,0
2013-10-04,Los Angeles Kings,3,Winnipeg Jets,5,"15,004",NaN,NaN,0
2013-10-05,Detroit Red Wings,1,Boston Bruins,4,"17,565",NaN,NaN,0
2013-10-05,Tampa Bay Lightning,3,Chicago Blackhawks,2,"21,563",NaN,SO,0
2013-10-05,Washington Capitals,1,Dallas Stars,2,"17,200",NaN,NaN,0
2013-10-05,Anaheim Ducks,4,Minnesota Wild,3,"18,213",NaN,OT,0
2013-10-05,Philadelphia Flyers,1,Montreal Canadiens,4,"21,273",NaN,NaN,0
2013-10-05,Columbus Blue Jackets,3,New York Islanders,2,"16,170",NaN,SO,0
2013-10-05,Buffalo Sabres,1,Pittsburgh Penguins,4,"18,641",NaN,NaN,0
2013-10-05,Phoenix Coyotes,1,San Jose Sharks,4,"17,562",NaN,NaN,0
2013-10-05,Florida Panthers,0,St. Louis Blues,7,"16,264",NaN,NaN,0
2013-10-05,Ottawa Senators,4,Toronto Maple Leafs,5,"19,552",NaN,SO,0
2013-10-05,Edmonton Oilers,2,Vancouver Canucks,6,"18,910",NaN,NaN,0
2013-10-06,Philadelphia Flyers,1,Carolina Hurricanes,2,"16,088",NaN,NaN,0
2013-10-06,Vancouver Canucks,5,Calgary Flames,4,"19,289",NaN,OT,0
2013-10-06,Anaheim Ducks,3,Winnipeg Jets,2,"15,004",NaN,NaN,0
2013-10-07,New Jersey Devils,4,Edmonton Oilers,5,"16,839",NaN,SO,0
2013-10-07,New York Rangers,3,Los Angeles Kings,1,"18,118",NaN,NaN,0
2013-10-08,Tampa Bay Lightning,3,Buffalo Sabres,2,"18,243",NaN,OT,0
2013-10-08,Minnesota Wild,2,Nashville Predators,3,"17,196",NaN,NaN,0
2013-10-08,Phoenix Coyotes,1,New York Islanders,6,"10,288",NaN,NaN,0
2013-10-08,Florida Panthers,1,Philadelphia Flyers,2,"19,589",NaN,NaN,0
2013-10-08,Carolina Hurricanes,2,Pittsburgh Penguins,5,"18,451",NaN,NaN,0
2013-10-08,New York Rangers,2,San Jose Sharks,9,"17,562",NaN,NaN,0
2013-10-08,Colorado Avalanche,2,Toronto Maple Leafs,1,"19,388",NaN,NaN,0
2013-10-08,New Jersey Devils,2,Vancouver Canucks,3,"18,910",NaN,OT,0
2013-10-09,Montreal Canadiens,2,Calgary Flames,3,"19,289",NaN,NaN,0
2013-10-09,Ottawa Senators,3,Los Angeles Kings,4,"18,118",NaN,OT,0
2013-10-09,Chicago Blackhawks,2,St. Louis Blues,3,"16,565",NaN,NaN,0
2013-10-10,New York Rangers,0,Anaheim Ducks,6,"17,179",NaN,NaN,0
2013-10-10,Colorado Avalanche,2,Boston Bruins,0,"17,565",NaN,NaN,0
2013-10-10,Columbus Blue Jackets,4,Buffalo Sabres,1,"18,210",NaN,NaN,0
2013-10-10,Phoenix Coyotes,4,Detroit Red Wings,2,"20,066",NaN,NaN,0
2013-10-10,Montreal Canadiens,4,Edmonton Oilers,1,"16,839",NaN,NaN,0
2013-10-10,Winnipeg Jets,1,Minnesota Wild,2,"17,366",NaN,NaN,0
2013-10-10,Toronto Maple Leafs,4,Nashville Predators,0,"16,671",NaN,NaN,0
2013-10-10,Florida Panthers,2,Tampa Bay Lightning,7,"19,204",NaN,NaN,0
2013-10-10,San Jose Sharks,4,Vancouver Canucks,1,"18,910",NaN,NaN,0
2013-10-10,Carolina Hurricanes,3,Washington Capitals,2,"18,506",NaN,NaN,0
2013-10-11,Los Angeles Kings,2,Carolina Hurricanes,1,"16,353",NaN,SO,0
2013-10-11,New Jersey Devils,2,Calgary Flames,3,"19,289",NaN,NaN,0
2013-10-11,New York Islanders,2,Chicago Blackhawks,3,"21,196",NaN,NaN,0
2013-10-11,Pittsburgh Penguins,3,Florida Panthers,6,"18,584",NaN,NaN,0
2013-10-11,Phoenix Coyotes,2,Philadelphia Flyers,1,"19,713",NaN,NaN,0
2013-10-11,Dallas Stars,4,Winnipeg Jets,1,"15,004",NaN,NaN,0
2013-10-12,Boston Bruins,3,Columbus Blue Jackets,1,"14,092",NaN,NaN,0
2013-10-12,Buffalo Sabres,1,Chicago Blackhawks,2,"21,261",NaN,NaN,0
2013-10-12,Philadelphia Flyers,2,Detroit Red Wings,5,"20,066",NaN,NaN,0
2013-10-12,Dallas Stars,1,Minnesota Wild,5,"18,278",NaN,NaN,0
2013-10-12,New York Islanders,2,Nashville Predators,3,"17,113",NaN,NaN,0
2013-10-12,Ottawa Senators,2,San Jose Sharks,3,"17,562",NaN,NaN,0
2013-10-12,New York Rangers,3,St. Louis Blues,5,"18,130",NaN,NaN,0
2013-10-12,Pittsburgh Penguins,5,Tampa Bay Lightning,4,"18,939",NaN,NaN,0
2013-10-12,Edmonton Oilers,5,Toronto Maple Leafs,6,"19,379",NaN,OT,0
2013-10-12,Montreal Canadiens,4,Vancouver Canucks,1,"18,910",NaN,NaN,0
2013-10-12,Colorado Avalanche,5,Washington Capitals,1,"18,506",NaN,NaN,0
2013-10-13,Ottawa Senators,1,Anaheim Ducks,4,"17,177",NaN,NaN,0
