game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided
2024-04-18,Colorado Avalanche,3,Arizona Coyotes,4,"4,600",2:30,OT
2024-04-18,San Jose Sharks,0,Boston Bruins,3,"17,850",2:32,
2024-04-18,New York Islanders,5,Carolina Hurricanes,4,"18,700",2:43,OT
2024-04-18,Dallas Stars,3,Calgary Flames,4,"16,941",2:29,OT
2024-04-18,Chicago Blackhawks,1,Detroit Red Wings,5,"19,515",2:21,
2024-04-18,Florida Panthers,5,Montreal Canadiens,1,"21,105",2:31,
2024-04-18,Minnesota Wild,6,Nashville Predators,1,"17,159",2:38,
2024-04-18,New Jersey Devils,4,Philadelphia Flyers,3,"17,748",2:40,OT
2024-04-18,Buffalo Sabres,4,St. Louis Blues,6,"18,096",2:27,
2024-04-18,Pittsburgh Penguins,4,Tampa Bay Lightning,2,"19,092",2:19,
2024-04-18,Seattle Kraken,3,Toronto Maple Leafs,4,"18,366",2:38,SO
2024-04-18,Vegas Golden Knights,4,Vancouver Canucks,1,"18,856",2:19,
2024-04-18,Edmonton Oilers,3,Winnipeg Jets,1,"13,611",2:26,
2024-04-18,Ottawa Senators,2,Columbus Blue Jackets,4,"15,552",2:27,
2024-04-18,San Jose Sharks,6,New Jersey Devils,3,"16,528",2:30,
2024-04-18,Colorado Avalanche,3,Anaheim Ducks,4,"14,712",2:45,SO
2024-04-18,St. Louis Blues,1,Arizona Coyotes,4,"4,600",2:35,
2024-04-18,Buffalo Sabres,2,Carolina Hurricanes,6,"18,797",2:27,
2024-04-18,Vancouver Canucks,4,Calgary Flames,3,"19,079",2:29,
2024-04-18,Tampa Bay Lightning,1,Dallas Stars,8,"18,532",2:30,
2024-04-18,New York Islanders,4,Florida Panthers,3,"18,721",2:28,
2024-04-18,Detroit Red Wings,5,Montreal Canadiens,4,"21,105",2:34,OT
2024-04-18,New York Rangers,4,Nashville Predators,3,"17,341",2:34,
2024-04-18,Seattle Kraken,0,Ottawa Senators,2,"18,159",2:28,
2024-04-18,Philadelphia Flyers,4,Pittsburgh Penguins,3,"18,303",2:41,SO
2024-04-18,Boston Bruins,4,Toronto Maple Leafs,3,"18,959",2:40,OT
2024-04-18,Washington Capitals,1,Vegas Golden Knights,4,"18,140",2:25,
2024-04-18,Chicago Blackhawks,1,Winnipeg Jets,3,"14,189",2:19,
2024-04-18,Columbus Blue Jackets,1,Boston Bruins,3,"17,850",2:20,
2024-04-18,Nashville Predators,2,Buffalo Sabres,1,"14,644",2:25,
2024-04-18,Colorado Avalanche,1,Los Angeles Kings,4,"18,145",2:24,
2024-04-18,Chicago Blackhawks,1,Minnesota Wild,4,"19,301",2:21,
2024-04-18,San Jose Sharks,5,New York Rangers,6,"18,006",2:31,
2024-04-18,Washington Capitals,0,Arizona Coyotes,6,"4,600",2:27,
2024-04-18,Seattle Kraken,2,Montreal Canadiens,4,"20,915",2:22,
2024-04-18,Pittsburgh Penguins,1,Philadelphia Flyers,2,"18,084",2:26,OT
2024-04-18,Dallas Stars,0,Tampa Bay Lightning,4,"19,092",2:19,
2024-04-18,St. Louis Blues,2,Vegas Golden Knights,1,"17,826",2:26,OT
2024-04-18,Carolina Hurricanes,1,Winnipeg Jets,2,"11,468",2:22,
2024-04-18,Detroit Red Wings,5,Buffalo Sabres,3,"14,800",2:28,
2024-04-18,Los Angeles Kings,4,Columbus Blue Jackets,3,"15,088",2:28,OT
2024-04-18,Minnesota Wild,5,Calgary Flames,2,"16,661",2:33,
2024-04-18,Nashville Predators,4,Chicago Blackhawks,3,"16,521",2:26,SO
2024-04-18,Anaheim Ducks,2,Colorado Avalanche,3,"18,021",2:28,
2024-04-18,San Jose Sharks,5,New York Islanders,4,"14,244",2:36,OT
2024-04-18,New York Rangers,2,Ottawa Senators,6,"17,362",2:28,
2024-04-18,New Jersey Devils,6,Vancouver Canucks,5,"18,983",2:30,
2024-04-18,Carolina Hurricanes,1,Edmonton Oilers,6,"18,347",2:31,
2024-04-18,Dallas Stars,4,Florida Panthers,5,"18,376",2:32,
2024-04-18,Vegas Golden Knights,6,St. Louis Blues,3,"18,096",2:35,
2024-04-18,Pittsburgh Penguins,1,Tampa Bay Lightning,3,"19,092",2:26,
2024-04-18,Philadelphia Flyers,4,Arizona Coyotes,1,"4,600",2:19,
2024-04-18,Buffalo Sabres,3,Boston Bruins,1,"17,850",2:24,
2024-04-18,Carolina Hurricanes,2,Calgary Flames,3,"16,983",2:34,
2024-04-18,Anaheim Ducks,0,Chicago Blackhawks,1,"17,424",2:20,
2024-04-18,Winnipeg Jets,4,Colorado Avalanche,2,"18,008",2:20,
2024-04-18,San Jose Sharks,6,Detroit Red Wings,5,"19,515",2:29,OT
2024-04-18,Los Angeles Kings,4,Montreal Canadiens,0,"21,105",2:27,
2024-04-18,Tampa Bay Lightning,1,Nashville Predators,5,"17,159",2:28,
2024-04-18,Columbus Blue Jackets,3,New York Islanders,7,"13,510",2:29,
2024-04-18,Toronto Maple Leafs,4,Ottawa Senators,3,"19,309",2:22,
2024-04-18,New Jersey Devils,2,Seattle Kraken,1,"17,151",2:23,
2024-04-18,Minnesota Wild,0,Vancouver Canucks,2,"18,667",2:41,
2024-04-18,Dallas Stars,5,Washington Capitals,4,"15,850",2:38,SO
2024-04-18,St. Louis Blues,2,Columbus Blue Jackets,5,"15,713",2:31,
2024-04-18,Minnesota Wild,3,Edmonton Oilers,4,"18,173",2:26,
2024-04-18,Pittsburgh Penguins,1,Florida Panthers,3,"18,640",2:18,
2024-04-18,Arizona Coyotes,3,Boston Bruins,5,"17,850",2:33,
2024-04-18,Montreal Canadiens,3,Buffalo Sabres,2,"17,123",2:43,SO
2024-04-18,New Jersey Devils,4,Calgary Flames,2,"17,597",2:25,
2024-04-18,St. Louis Blues,1,Chicago Blackhawks,3,"18,892",2:24,
2024-04-18,Philadelphia Flyers,5,Colorado Avalanche,2,"18,119",2:27,
2024-04-18,Vegas Golden Knights,6,Dallas Stars,1,"18,532",2:17,
2024-04-18,Ottawa Senators,5,Detroit Red Wings,1,"19,515",2:45,
2024-04-18,Los Angeles Kings,2,New York Islanders,3,"17,255",2:36,OT
2024-04-18,Tampa Bay Lightning,4,Seattle Kraken,3,"17,151",2:32,OT
2024-04-18,Nashville Predators,0,Toronto Maple Leafs,4,"18,611",2:23,
2024-04-18,Carolina Hurricanes,3,Vancouver Canucks,4,"18,586",2:31,
2024-04-18,New York Rangers,0,Washington Capitals,4,"18,573",2:29,
2024-04-18,Winnipeg Jets,4,Anaheim Ducks,2,"13,626",2:28,
2024-04-18,Florida Panthers,5,Columbus Blue Jackets,2,"16,269",2:29,
2024-04-18,Washington Capitals,4,Chicago Blackhawks,2,"18,258",2:25,
2024-04-18,New Jersey Devils,1,Edmonton Oilers,4,"18,347",2:31,
2024-04-18,Nashville Predators,2,Montreal Canadiens,1,"20,864",2:32,
2024-04-18,Los Angeles Kings,1,New York Rangers,4,"18,006",2:32,
2024-04-18,Minnesota Wild,3,Seattle Kraken,0,"17,151",2:29,
2024-04-18,San Jose Sharks,4,Vegas Golden Knights,5,"17,849",2:40,SO
2024-04-18,Arizona Coyotes,2,Buffalo Sabres,5,"14,083",2:24,
2024-04-18,Calgary Flames,5,Colorado Avalanche,6,"17,967",2:37,
2024-04-18,Detroit Red Wings,3,Dallas Stars,6,"18,532",2:28,
2024-04-18,Toronto Maple Leafs,3,New York Islanders,4,"17,255",2:28,OT
2024-04-18,Chicago Blackhawks,1,Edmonton Oilers,4,"18,347",2:23,
2024-04-18,Philadelphia Flyers,2,Nashville Predators,3,"17,159",2:27,OT
2024-04-18,Toronto Maple Leafs,7,New York Rangers,3,"18,006",2:26,
2024-04-18,Carolina Hurricanes,4,Ottawa Senators,1,"16,877",2:27,
2024-04-18,Arizona Coyotes,2,Pittsburgh Penguins,4,"17,068",2:29,
2024-04-18,Florida Panthers,0,Seattle Kraken,4,"17,151",2:28,
2024-04-18,Winnipeg Jets,1,San Jose Sharks,2,"13,142",2:27,
2024-04-18,Detroit Red Wings,6,St. Louis Blues,4,"18,096",2:36,
2024-04-18,Tampa Bay Lightning,1,Vancouver Canucks,4,"18,771",2:22,
2024-04-18,Calgary Flames,4,Vegas Golden Knights,5,"17,814",2:30,OT
2024-04-18,Buffalo Sabres,1,Colorado Avalanche,5,"18,034",2:32,
2024-04-18,Winnipeg Jets,5,Los Angeles Kings,2,"18,145",2:23,
2024-04-18,Pittsburgh Penguins,4,Montreal Canadiens,3,"21,105",2:50,SO
2024-04-18,Boston Bruins,1,New Jersey Devils,2,"16,514",2:33,OT
2024-04-18,Anaheim Ducks,3,New York Islanders,4,"14,207",2:34,
2024-04-18,Carolina Hurricanes,2,Detroit Red Wings,1,"19,515",2:24,
2024-04-18,Tampa Bay Lightning,7,Edmonton Oilers,4,"18,060",2:35,
2024-04-18,Calgary Flames,2,Minnesota Wild,3,"18,167",2:44,SO
2024-04-18,Washington Capitals,3,Philadelphia Flyers,4,"18,557",2:43,SO
2024-04-18,Chicago Blackhawks,1,Seattle Kraken,7,"17,151",2:19,
2024-04-18,Ottawa Senators,2,St. Louis Blues,4,"18,096",2:24,
2024-04-18,Columbus Blue Jackets,6,Toronto Maple Leafs,5,"18,338",2:39,OT
2024-04-18,Florida Panthers,0,Vancouver Canucks,4,"18,873",2:19,
2024-04-18,San Jose Sharks,0,Arizona Coyotes,1,"4,600",2:33,
2024-04-18,Nashville Predators,6,Carolina Hurricanes,5,"18,770",2:32,OT
2024-04-18,Ottawa Senators,4,Dallas Stars,5,"18,532",2:32,
2024-04-18,Boston Bruins,5,New York Islanders,4,"17,255",2:54,SO
2024-04-18,Anaheim Ducks,1,New York Rangers,5,"18,006",2:34,
2024-04-18,Buffalo Sabres,5,Vegas Golden Knights,2,"18,008",2:27,
2024-04-18,Buffalo Sabres,0,Arizona Coyotes,2,"4,600",2:11,
2024-04-18,New York Rangers,2,Boston Bruins,1,"17,850",2:35,OT
2024-04-18,New Jersey Devils,6,Columbus Blue Jackets,3,"18,172",2:24,
2024-04-18,Tampa Bay Lightning,2,Calgary Flames,4,"16,801",2:27,
2024-04-18,Florida Panthers,5,Edmonton Oilers,1,"18,347",2:34,
2024-04-18,Vancouver Canucks,1,Minnesota Wild,2,"18,519",2:39,SO
2024-04-18,New York Islanders,3,Montreal Canadiens,5,"21,105",2:23,
2024-04-18,Washington Capitals,1,Nashville Predators,3,"17,267",2:20,
2024-04-18,Detroit Red Wings,0,Philadelphia Flyers,1,"18,341",2:31,
2024-04-18,Los Angeles Kings,3,Seattle Kraken,2,"17,151",2:42,SO
2024-04-18,Dallas Stars,3,St. Louis Blues,4,"18,096",2:32,OT
2024-04-18,Pittsburgh Penguins,0,Toronto Maple Leafs,7,"18,921",2:30,
2024-04-18,Colorado Avalanche,2,Winnipeg Jets,6,"13,515",2:20,
2024-04-18,Washington Capitals,2,Carolina Hurricanes,1,"18,700",2:44,SO
2024-04-18,Vancouver Canucks,4,Chicago Blackhawks,3,"19,302",2:19,
2024-04-18,San Jose Sharks,2,Colorado Avalanche,6,"18,093",2:29,
2024-04-18,Anaheim Ducks,5,New Jersey Devils,1,"16,514",2:25,
2024-04-18,Ottawa Senators,3,Vegas Golden Knights,6,"17,892",2:30,
2024-04-18,Florida Panthers,1,Calgary Flames,3,"16,813",2:27,
2024-04-18,Seattle Kraken,3,Dallas Stars,4,"18,532",2:32,OT
2024-04-18,Anaheim Ducks,4,Detroit Red Wings,3,"19,515",2:33,
2024-04-18,Minnesota Wild,3,Pittsburgh Penguins,4,"18,200",2:32,
2024-04-18,Montreal Canadiens,3,Winnipeg Jets,2,"13,363",2:29,OT
2024-04-18,Ottawa Senators,3,Arizona Coyotes,4,"4,600",2:30,
2024-04-18,Minnesota Wild,4,Boston Bruins,3,"17,850",2:36,OT
2024-04-18,Columbus Blue Jackets,9,Buffalo Sabres,4,"14,888",2:25,
2024-04-18,Vegas Golden Knights,3,Carolina Hurricanes,6,"18,848",2:32,
2024-04-18,Colorado Avalanche,2,Chicago Blackhawks,3,"19,719",2:24,
2024-04-18,Philadelphia Flyers,3,New Jersey Devils,2,"16,514",2:26,OT
2024-04-18,Vancouver Canucks,5,Nashville Predators,2,"17,159",2:22,
2024-04-18,Edmonton Oilers,1,New York Islanders,3,"16,523",2:17,
2024-04-18,Los Angeles Kings,4,San Jose Sharks,1,"11,593",2:23,
2024-04-18,St. Louis Blues,1,Tampa Bay Lightning,6,"19,092",2:22,
2024-04-18,New York Rangers,5,Toronto Maple Leafs,2,"19,264",2:22,
2024-04-18,Seattle Kraken,2,Los Angeles Kings,1,"18,145",2:28,
2024-04-18,Detroit Red Wings,2,Winnipeg Jets,5,"12,571",2:26,
2024-04-18,New York Islanders,2,Washington Capitals,3,"18,573",2:24,OT
2024-04-18,Calgary Flames,3,Anaheim Ducks,0,"16,102",2:25,
2024-04-18,Toronto Maple Leafs,3,Buffalo Sabres,9,"19,070",2:22,
2024-04-18,Washington Capitals,3,Columbus Blue Jackets,2,"18,172",2:32,OT
2024-04-18,Ottawa Senators,4,Colorado Avalanche,6,"18,107",2:39,
2024-04-18,Vancouver Canucks,3,Dallas Stars,4,"18,532",2:32,OT
2024-04-18,St. Louis Blues,4,Florida Panthers,1,"18,753",2:29,
2024-04-18,Montreal Canadiens,3,Minnesota Wild,4,"18,387",2:38,OT
2024-04-18,Edmonton Oilers,6,New Jersey Devils,3,"16,514",2:26,
2024-04-18,Nashville Predators,4,Philadelphia Flyers,2,"19,313",2:33,
2024-04-18,Carolina Hurricanes,1,Pittsburgh Penguins,2,"18,267",2:37,SO
2024-04-18,Arizona Coyotes,5,San Jose Sharks,2,"17,435",2:26,
2024-04-18,Vegas Golden Knights,4,Tampa Bay Lightning,5,"19,092",2:35,
2024-04-18,Montreal Canadiens,5,Chicago Blackhawks,2,"20,340",2:25,
2024-04-18,Philadelphia Flyers,6,Detroit Red Wings,7,"19,515",2:50,SO
2024-04-18,Edmonton Oilers,4,New York Rangers,3,"18,006",2:29,
2024-04-18,Boston Bruins,1,Winnipeg Jets,5,"14,405",2:34,
2024-04-18,Seattle Kraken,3,Anaheim Ducks,2,"14,608",2:28,
2024-04-18,New York Islanders,5,Carolina Hurricanes,4,"18,921",2:31,
2024-04-18,Toronto Maple Leafs,4,Columbus Blue Jackets,1,"17,806",2:24,
2024-04-18,Arizona Coyotes,1,Colorado Avalanche,4,"18,117",2:21,
2024-04-18,Vegas Golden Knights,2,Florida Panthers,4,"19,364",2:37,
2024-04-18,Calgary Flames,3,Los Angeles Kings,5,"18,145",2:35,
2024-04-18,Boston Bruins,2,Minnesota Wild,3,"19,183",2:33,
2024-04-18,Detroit Red Wings,2,New Jersey Devils,3,"16,514",2:31,
2024-04-18,Dallas Stars,3,Nashville Predators,2,"17,159",2:28,
2024-04-18,Buffalo Sabres,3,New York Rangers,4,"18,006",2:36,OT
2024-04-18,Pittsburgh Penguins,4,Ottawa Senators,5,"19,286",2:34,OT
2024-04-18,Chicago Blackhawks,5,St. Louis Blues,7,"18,096",2:27,
2024-04-18,San Jose Sharks,4,Vancouver Canucks,7,"18,875",2:32,
2024-04-18,Tampa Bay Lightning,2,Washington Capitals,1,"18,573",2:37,SO
2024-04-18,Vegas Golden Knights,2,Anaheim Ducks,5,"15,109",2:19,
2024-04-18,Colorado Avalanche,4,Arizona Coyotes,5,"4,600",2:30,OT
2024-04-18,Boston Bruins,4,Buffalo Sabres,1,"19,070",2:31,
2024-04-18,Seattle Kraken,2,Calgary Flames,1,"18,881",2:23,
2024-04-18,Winnipeg Jets,1,Chicago Blackhawks,2,"20,540",2:27,OT
2024-04-18,San Jose Sharks,1,Los Angeles Kings,5,"18,145",2:25,
2024-04-18,Detroit Red Wings,3,Minnesota Wild,6,"19,105",2:23,
2024-04-18,Columbus Blue Jackets,3,New Jersey Devils,4,"16,514",2:30,OT
2024-04-18,Carolina Hurricanes,5,Nashville Predators,2,"17,846",2:32,
2024-04-18,Pittsburgh Penguins,7,New York Islanders,0,"17,255",2:30,
2024-04-18,Washington Capitals,1,New York Rangers,5,"18,006",2:19,
2024-04-18,Dallas Stars,1,St. Louis Blues,2,"18,096",2:24,
2024-04-18,Florida Panthers,3,Tampa Bay Lightning,2,"19,092",2:28,
2024-04-18,Ottawa Senators,4,Toronto Maple Leafs,2,"19,261",2:30,
2024-04-18,Montreal Canadiens,3,Carolina Hurricanes,5,"18,969",2:38,
2024-04-18,Edmonton Oilers,5,San Jose Sharks,0,"17,435",2:20,
2024-04-18,Philadelphia Flyers,4,Vancouver Canucks,1,"18,986",2:27,
2024-04-18,Los Angeles Kings,2,Vegas Golden Knights,3,"18,595",2:28,
2024-04-18,Arizona Coyotes,2,Anaheim Ducks,0,"16,052",2:35,
2024-04-18,Toronto Maple Leafs,5,Columbus Blue Jackets,6,"18,516",2:37,OT
2024-04-18,Chicago Blackhawks,4,Dallas Stars,5,"18,532",2:33,OT
2024-04-18,Nashville Predators,4,Detroit Red Wings,5,"19,515",2:36,OT
2024-04-18,New York Rangers,3,Florida Panthers,4,"19,723",2:34,
2024-04-18,Washington Capitals,1,New York Islanders,5,"17,255",2:23,
2024-04-18,New Jersey Devils,6,Ottawa Senators,2,"20,022",2:22,
2024-04-18,Philadelphia Flyers,1,Seattle Kraken,2,"17,151",2:26,OT
2024-04-18,Colorado Avalanche,2,St. Louis Blues,1,"18,096",2:23,
2024-04-18,New Jersey Devils,2,Boston Bruins,5,"17,850",2:27,
2024-04-18,Columbus Blue Jackets,2,Buffalo Sabres,3,"19,070",2:21,OT
2024-04-18,Montreal Canadiens,1,Florida Panthers,4,"19,663",2:24,
2024-04-18,Edmonton Oilers,3,Los Angeles Kings,2,"18,145",2:39,SO
2024-04-18,St. Louis Blues,2,Pittsburgh Penguins,4,"18,321",2:27,
2024-04-18,New York Rangers,5,Tampa Bay Lightning,1,"19,092",2:35,
2024-04-18,Carolina Hurricanes,3,Toronto Maple Leafs,2,"18,974",2:31,
2024-04-18,Minnesota Wild,2,Winnipeg Jets,4,"15,225",2:25,
2024-04-18,Nashville Predators,3,Washington Capitals,2,"18,573",2:45,SO
2024-04-18,Edmonton Oilers,7,Anaheim Ducks,2,"16,041",2:25,
2024-04-18,Philadelphia Flyers,3,Calgary Flames,4,"18,723",2:28,
2024-04-18,San Jose Sharks,1,Colorado Avalanche,3,"18,140",2:38,
2024-04-18,Chicago Blackhawks,1,Dallas Stars,8,"18,532",2:25,
2024-04-18,Boston Bruins,5,Detroit Red Wings,3,"19,515",2:37,
2024-04-18,Winnipeg Jets,3,Minnesota Wild,2,"19,129",2:28,
2024-04-18,Buffalo Sabres,1,Ottawa Senators,5,"19,421",2:31,
2024-04-18,New York Islanders,1,Pittsburgh Penguins,3,"18,216",2:37,
2024-04-18,Montreal Canadiens,3,Tampa Bay Lightning,4,"19,092",2:33,
2024-04-18,Vegas Golden Knights,0,Seattle Kraken,3,"47,313",2:35,
2024-04-18,Florida Panthers,4,Arizona Coyotes,1,"4,600",2:35,
2024-04-18,Boston Bruins,4,Columbus Blue Jackets,1,"18,262",2:27,
2024-04-18,New York Islanders,4,Colorado Avalanche,5,"18,121",2:31,OT
2024-04-18,Montreal Canadiens,4,Dallas Stars,3,"18,532",2:24,
2024-04-18,Philadelphia Flyers,2,Edmonton Oilers,5,"18,347",2:19,
2024-04-18,Toronto Maple Leafs,3,Los Angeles Kings,0,"18,145",2:33,
2024-04-18,Calgary Flames,3,Minnesota Wild,1,"18,456",2:21,
2024-04-18,Chicago Blackhawks,0,Nashville Predators,3,"17,363",2:23,
2024-04-18,Carolina Hurricanes,6,New York Rangers,1,"18,006",2:28,
2024-04-18,Washington Capitals,4,Pittsburgh Penguins,3,"18,190",2:33,
2024-04-18,Detroit Red Wings,5,San Jose Sharks,3,"12,195",2:34,
2024-04-18,Ottawa Senators,3,Vancouver Canucks,6,"18,810",2:22,
2024-04-18,Tampa Bay Lightning,2,Winnipeg Jets,4,"14,157",2:20,
2024-04-18,Toronto Maple Leafs,2,Anaheim Ducks,1,"16,135",2:42,OT
2024-04-18,New Jersey Devils,6,Washington Capitals,3,"17,156",2:34,
2024-04-18,New York Islanders,5,Arizona Coyotes,1,"4,600",2:21,
2024-04-18,Pittsburgh Penguins,6,Boston Bruins,5,"17,850",2:35,
2024-04-18,Colorado Avalanche,5,Dallas Stars,4,"18,532",2:38,OT
2024-04-18,Detroit Red Wings,4,Los Angeles Kings,3,"18,145",2:34,SO
2024-04-18,Tampa Bay Lightning,4,Minnesota Wild,1,"18,689",2:25,
2024-04-18,Buffalo Sabres,6,Montreal Canadiens,1,"21,105",2:35,
2024-04-18,Calgary Flames,6,Nashville Predators,3,"17,203",2:37,
2024-04-18,Chicago Blackhawks,1,New York Rangers,4,"18,006",2:22,
2024-04-18,Columbus Blue Jackets,3,Philadelphia Flyers,2,"17,510",2:39,SO
2024-04-18,Ottawa Senators,1,Seattle Kraken,4,"17,151",2:20,
2024-04-18,Winnipeg Jets,2,San Jose Sharks,1,"10,521",2:16,
2024-04-18,Vancouver Canucks,1,St. Louis Blues,2,"18,096",2:23,
2024-04-18,Florida Panthers,4,Vegas Golden Knights,1,"18,044",2:38,
2024-04-18,Winnipeg Jets,3,Anaheim Ducks,1,"13,883",2:24,
2024-04-18,Chicago Blackhawks,2,New Jersey Devils,4,"16,514",2:32,
2024-04-18,Carolina Hurricanes,6,Washington Capitals,2,"18,573",2:32,
2024-04-18,Tampa Bay Lightning,3,Boston Bruins,7,"17,850",2:28,
2024-04-18,St. Louis Blues,2,Carolina Hurricanes,1,"18,903",2:36,SO
2024-04-18,Minnesota Wild,4,Columbus Blue Jackets,3,"18,771",2:41,OT
2024-04-18,Florida Panthers,8,Colorado Avalanche,4,"18,132",2:32,
2024-04-18,Nashville Predators,4,Dallas Stars,3,"18,532",2:30,
2024-04-18,Ottawa Senators,1,Edmonton Oilers,3,"18,347",2:27,
2024-04-18,New York Rangers,3,Montreal Canadiens,4,"21,105",2:34,SO
2024-04-18,Vancouver Canucks,6,New Jersey Devils,4,"16,157",2:36,
2024-04-18,Calgary Flames,2,Philadelphia Flyers,3,"19,715",2:37,
2024-04-18,Buffalo Sabres,3,Pittsburgh Penguins,1,"18,256",2:30,
2024-04-18,Toronto Maple Leafs,4,San Jose Sharks,1,"17,435",2:24,
2024-04-18,New York Islanders,2,Vegas Golden Knights,5,"18,312",2:33,
2024-04-18,Detroit Red Wings,3,Anaheim Ducks,2,"17,174",2:29,
2024-04-18,Winnipeg Jets,6,Arizona Coyotes,2,"4,600",2:29,
2024-04-18,Calgary Flames,3,Chicago Blackhawks,4,"19,907",2:33,
2024-04-18,Los Angeles Kings,3,Washington Capitals,4,"18,573",2:26,
2024-04-18,Boston Bruins,3,Colorado Avalanche,4,"18,050",2:56,SO
2024-04-18,Dallas Stars,4,Minnesota Wild,0,"18,087",2:33,
2024-04-18,Vancouver Canucks,6,New York Rangers,3,"18,006",2:28,
2024-04-18,Pittsburgh Penguins,4,Philadelphia Flyers,1,"18,279",2:36,
2024-04-18,Boston Bruins,3,Arizona Coyotes,4,"4,600",2:48,OT
2024-04-18,Seattle Kraken,5,Buffalo Sabres,2,"14,628",2:19,
2024-04-18,Ottawa Senators,3,Calgary Flames,6,"17,219",2:30,
2024-04-18,Edmonton Oilers,2,Chicago Blackhawks,1,"19,756",2:30,
2024-04-18,Anaheim Ducks,5,Nashville Predators,3,"17,159",2:33,
2024-04-18,Vancouver Canucks,5,New York Islanders,2,"15,690",2:20,
2024-04-18,Florida Panthers,5,St. Louis Blues,1,"18,096",2:25,
2024-04-18,Los Angeles Kings,2,Tampa Bay Lightning,3,"19,092",2:30,OT
2024-04-18,San Jose Sharks,1,Toronto Maple Leafs,7,"18,364",2:28,
2024-04-18,Columbus Blue Jackets,0,Winnipeg Jets,5,"12,512",2:23,
2024-04-18,Vegas Golden Knights,0,Colorado Avalanche,3,"18,039",2:24,
2024-04-18,Minnesota Wild,2,Dallas Stars,7,"18,532",2:31,
2024-04-18,Montreal Canadiens,2,Philadelphia Flyers,3,"18,238",2:38,SO
2024-04-18,Calgary Flames,6,Arizona Coyotes,2,"4,600",2:23,
2024-04-18,Ottawa Senators,3,Buffalo Sabres,5,"16,083",2:25,
2024-04-18,Anaheim Ducks,3,Carolina Hurricanes,6,"18,748",2:34,
2024-04-18,Edmonton Oilers,3,Detroit Red Wings,2,"19,515",2:32,OT
2024-04-18,Los Angeles Kings,2,Florida Panthers,3,"18,616",2:43,OT
2024-04-18,San Jose Sharks,3,Montreal Canadiens,2,"21,105",2:30,
2024-04-18,Toronto Maple Leafs,3,New York Islanders,4,"17,255",2:25,OT
2024-04-18,Vancouver Canucks,4,Pittsburgh Penguins,3,"18,190",2:32,OT
2024-04-18,New York Rangers,2,St. Louis Blues,5,"18,096",2:20,
2024-04-18,New Jersey Devils,3,Tampa Bay Lightning,4,"19,092",2:34,OT
2024-04-18,Boston Bruins,1,Vegas Golden Knights,2,"18,209",2:30,OT
2024-04-18,Chicago Blackhawks,1,Winnipeg Jets,2,"15,225",2:16,
2024-04-18,Seattle Kraken,4,Washington Capitals,1,"17,935",2:22,
2024-04-18,Nashville Predators,6,Dallas Stars,3,"18,532",2:29,
2024-04-18,Philadelphia Flyers,4,Minnesota Wild,3,"18,473",2:35,OT
2024-04-18,Vancouver Canucks,1,Buffalo Sabres,0,"17,662",2:35,
2024-04-18,Pittsburgh Penguins,2,Carolina Hurricanes,3,"18,932",2:34,OT
2024-04-18,Seattle Kraken,7,Columbus Blue Jackets,4,"18,588",2:28,
2024-04-18,Dallas Stars,3,Chicago Blackhawks,1,"18,889",2:27,
2024-04-18,Los Angeles Kings,3,Detroit Red Wings,5,"19,515",2:35,
2024-04-18,New Jersey Devils,4,Florida Panthers,1,"19,526",2:23,
2024-04-18,Arizona Coyotes,6,Minnesota Wild,0,"18,812",2:32,
2024-04-18,Edmonton Oilers,2,Montreal Canadiens,1,"21,105",2:37,OT
2024-04-18,New York Islanders,1,Nashville Predators,3,"17,474",2:23,
2024-04-18,San Jose Sharks,4,Ottawa Senators,5,"18,764",2:23,
2024-04-18,Boston Bruins,4,St. Louis Blues,3,"18,096",2:31,OT
2024-04-18,Anaheim Ducks,1,Tampa Bay Lightning,5,"19,092",2:28,
2024-04-18,Colorado Avalanche,5,Toronto Maple Leafs,3,"19,298",2:22,
2024-04-18,Calgary Flames,3,Vegas Golden Knights,1,"17,858",2:27,
2024-04-18,Philadelphia Flyers,2,Winnipeg Jets,0,"14,540",2:25,
2024-04-18,New York Rangers,2,Washington Capitals,3,"18,573",2:35,
2024-04-18,Washington Capitals,1,New York Rangers,2,"18,006",2:29,
2024-04-18,Detroit Red Wings,4,Toronto Maple Leafs,2,"18,772",2:24,
2024-04-18,New Jersey Devils,0,Boston Bruins,3,"17,850",2:33,
2024-04-18,San Jose Sharks,0,Buffalo Sabres,3,"16,186",2:25,
2024-04-18,Los Angeles Kings,5,Carolina Hurricanes,2,"18,825",2:28,
2024-04-18,Vancouver Canucks,3,Columbus Blue Jackets,4,"17,622",2:31,SO
2024-04-18,Anaheim Ducks,5,Florida Panthers,4,"17,885",2:34,OT
2024-04-18,New York Islanders,0,Minnesota Wild,5,"18,231",2:31,
2024-04-18,Colorado Avalanche,3,Montreal Canadiens,4,"21,205",2:36,
2024-04-18,Seattle Kraken,0,Pittsburgh Penguins,3,"18,202",2:23,
2024-04-18,Philadelphia Flyers,4,St. Louis Blues,2,"18,096",2:20,
2024-04-18,Nashville Predators,1,Vegas Golden Knights,4,"17,719",2:27,
2024-04-18,Arizona Coyotes,2,Calgary Flames,3,"17,407",2:31,OT
2024-04-18,San Jose Sharks,1,Chicago Blackhawks,2,"16,401",2:44,SO
