game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided
2024-04-18,Pittsburgh Penguins,2,St. Louis Blues,4,"18,096",2:21,
2024-04-18,Toronto Maple Leafs,4,Tampa Bay Lightning,3,"19,092",2:35,OT
2024-04-18,Boston Bruins,3,Anaheim Ducks,1,"14,264",2:26,
2024-04-18,Calgary Flames,2,Detroit Red Wings,6,"17,626",2:26,
2024-04-18,Montreal Canadiens,3,Buffalo Sabres,1,"13,507",2:22,
2024-04-18,Anaheim Ducks,3,Columbus Blue Jackets,2,"16,432",2:28,OT
2024-04-18,New York Rangers,3,Calgary Flames,1,"16,800",2:25,
2024-04-18,Boston Bruins,3,Chicago Blackhawks,0,"19,370",2:36,
2024-04-18,Seattle Kraken,5,Detroit Red Wings,4,"16,894",2:40,OT
2024-04-18,San Jose Sharks,1,Florida Panthers,3,"16,142",2:24,
2024-04-18,Arizona Coyotes,3,Los Angeles Kings,6,"17,668",2:42,
2024-04-18,Edmonton Oilers,4,Minnesota Wild,7,"17,064",2:30,
2024-04-18,New Jersey Devils,5,Montreal Canadiens,2,"21,105",2:32,
2024-04-18,Vancouver Canucks,3,Nashville Predators,2,"17,159",2:17,
2024-04-18,Colorado Avalanche,7,New York Islanders,4,"14,856",2:31,
2024-04-18,Buffalo Sabres,6,Ottawa Senators,4,"14,278",2:38,
2024-04-18,Dallas Stars,4,Pittsburgh Penguins,1,"17,209",2:29,
2024-04-18,Carolina Hurricanes,0,Tampa Bay Lightning,3,"19,092",2:27,
2024-04-18,Philadelphia Flyers,2,Vegas Golden Knights,3,"17,717",2:31,
2024-04-18,St. Louis Blues,2,Winnipeg Jets,4,"11,136",2:21,
2024-04-18,Toronto Maple Leafs,4,Washington Capitals,1,"16,641",2:20,
2024-04-18,Washington Capitals,6,New Jersey Devils,4,"16,117",2:23,
2024-04-18,Anaheim Ducks,4,Boston Bruins,3,"17,850",2:44,OT
2024-04-18,Seattle Kraken,2,Carolina Hurricanes,3,"18,780",2:38,OT
2024-04-18,St. Louis Blues,3,Calgary Flames,0,"16,897",2:26,
2024-04-18,Toronto Maple Leafs,4,Dallas Stars,1,"18,532",2:21,
2024-04-18,Winnipeg Jets,4,Detroit Red Wings,1,"17,857",2:25,
2024-04-18,New York Rangers,3,Edmonton Oilers,0,"17,939",2:26,
2024-04-18,Columbus Blue Jackets,3,Montreal Canadiens,4,"21,105",2:35,OT
2024-04-18,Ottawa Senators,2,New York Islanders,3,"14,911",2:37,
2024-04-18,Minnesota Wild,2,Philadelphia Flyers,6,"17,144",2:30,
2024-04-18,Colorado Avalanche,0,Pittsburgh Penguins,4,"17,154",2:26,
2024-04-18,San Jose Sharks,0,Tampa Bay Lightning,6,"19,092",2:23,
2024-04-18,Los Angeles Kings,5,Arizona Coyotes,4,"4,600",2:37,
2024-04-18,San Jose Sharks,0,Carolina Hurricanes,3,"18,700",2:37,
2024-04-18,Buffalo Sabres,4,New Jersey Devils,5,"16,514",2:30,
2024-04-18,St. Louis Blues,0,Vancouver Canucks,5,"18,548",2:23,
2024-04-18,Chicago Blackhawks,4,Vegas Golden Knights,3,"18,338",2:27,OT
2024-04-18,Minnesota Wild,2,Washington Capitals,3,"16,602",2:45,SO
2024-04-18,Detroit Red Wings,1,Boston Bruins,4,"17,850",2:25,
2024-04-18,New York Islanders,2,Columbus Blue Jackets,0,"15,424",2:13,
2024-04-18,Seattle Kraken,2,Florida Panthers,3,"16,780",2:33,
2024-04-18,Vegas Golden Knights,4,Los Angeles Kings,3,"18,145",2:38,SO
2024-04-18,Winnipeg Jets,3,Montreal Canadiens,4,"21,105",2:41,SO
2024-04-18,Toronto Maple Leafs,2,Nashville Predators,3,"17,537",2:31,OT
2024-04-18,Anaheim Ducks,7,Philadelphia Flyers,4,"18,275",2:33,
2024-04-18,Ottawa Senators,5,Pittsburgh Penguins,2,"17,631",2:29,
2024-04-18,New York Rangers,4,Vancouver Canucks,3,"18,483",2:31,OT
2024-04-18,Colorado Avalanche,0,Buffalo Sabres,4,"15,717",2:25,
2024-04-18,Calgary Flames,2,Edmonton Oilers,5,"55,411",2:37,
2024-04-18,Minnesota Wild,3,New Jersey Devils,4,"16,514",2:25,
2024-04-18,San Jose Sharks,1,Washington Capitals,3,"15,856",2:26,
2024-04-18,Chicago Blackhawks,1,Arizona Coyotes,8,"4,600",2:31,
2024-04-18,Florida Panthers,2,Boston Bruins,3,"17,850",2:36,OT
2024-04-18,Columbus Blue Jackets,3,Dallas Stars,5,"18,532",2:22,
2024-04-18,Detroit Red Wings,4,New York Islanders,3,"15,407",2:35,OT
2024-04-18,Carolina Hurricanes,3,Philadelphia Flyers,2,"15,569",2:27,
2024-04-18,Anaheim Ducks,4,Pittsburgh Penguins,3,"16,903",2:34,
2024-04-18,Seattle Kraken,4,Tampa Bay Lightning,3,"19,092",2:30,OT
2024-04-18,Montreal Canadiens,2,Vegas Golden Knights,3,"17,791",2:43,SO
2024-04-18,New York Rangers,3,Winnipeg Jets,2,"11,898",2:29,OT
2024-04-18,Los Angeles Kings,4,Toronto Maple Leafs,1,"18,531",2:20,
2024-04-18,Nashville Predators,2,Vancouver Canucks,5,"18,413",2:23,
2024-04-18,Arizona Coyotes,3,Anaheim Ducks,4,"14,894",2:37,OT
2024-04-18,Dallas Stars,4,Calgary Flames,3,"16,786",2:32,
2024-04-18,St. Louis Blues,1,Colorado Avalanche,4,"18,091",2:31,
2024-04-18,Buffalo Sabres,5,Philadelphia Flyers,2,"17,279",2:30,
2024-04-18,Montreal Canadiens,2,Arizona Coyotes,3,"4,600",2:33,
2024-04-18,Toronto Maple Leafs,2,Boston Bruins,3,"17,850",2:36,SO
2024-04-18,Tampa Bay Lightning,2,Columbus Blue Jackets,4,"14,276",2:32,
2024-04-18,Florida Panthers,2,Detroit Red Wings,0,"17,233",2:27,
2024-04-18,Dallas Stars,4,Edmonton Oilers,3,"17,290",2:32,
2024-04-18,New Jersey Devils,5,Minnesota Wild,3,"18,399",2:24,
2024-04-18,Carolina Hurricanes,1,New York Rangers,2,"18,006",2:31,
2024-04-18,Los Angeles Kings,3,Ottawa Senators,2,"16,216",2:24,
2024-04-18,Nashville Predators,2,Seattle Kraken,4,"17,151",2:24,
2024-04-18,Vancouver Canucks,10,San Jose Sharks,1,"10,719",2:32,
2024-04-18,Winnipeg Jets,2,Vegas Golden Knights,5,"17,878",2:27,
2024-04-18,New York Islanders,3,Washington Capitals,0,"16,209",2:23,
2024-04-18,Philadelphia Flyers,5,Buffalo Sabres,1,"16,612",2:12,
2024-04-18,New Jersey Devils,1,St. Louis Blues,4,"18,096",2:24,
2024-04-18,Winnipeg Jets,5,Arizona Coyotes,3,"4,600",2:19,
2024-04-18,Florida Panthers,2,Chicago Blackhawks,5,"18,666",2:22,
2024-04-18,Boston Bruins,4,Detroit Red Wings,5,"18,676",2:40,
2024-04-18,Nashville Predators,5,Edmonton Oilers,2,"18,354",2:28,
2024-04-18,New York Rangers,4,Minnesota Wild,5,"18,678",2:38,SO
2024-04-18,Carolina Hurricanes,4,New York Islanders,3,"17,255",2:31,OT
2024-04-18,Tampa Bay Lightning,6,Ottawa Senators,4,"17,387",2:36,
2024-04-18,Los Angeles Kings,5,Philadelphia Flyers,0,"18,304",2:24,
2024-04-18,Calgary Flames,6,Seattle Kraken,3,"17,151",2:19,
2024-04-18,Pittsburgh Penguins,10,San Jose Sharks,2,"17,435",2:28,
2024-04-18,Montreal Canadiens,3,St. Louis Blues,6,"18,096",2:29,
2024-04-18,Buffalo Sabres,6,Toronto Maple Leafs,4,"18,902",2:28,
2024-04-18,Dallas Stars,0,Vancouver Canucks,2,"18,895",2:25,
2024-04-18,Colorado Avalanche,0,Vegas Golden Knights,7,"18,512",2:40,
2024-04-18,Columbus Blue Jackets,1,Washington Capitals,2,"18,573",2:30,
2024-04-18,Vegas Golden Knights,2,Anaheim Ducks,4,"15,720",2:22,
2024-04-18,New Jersey Devils,4,Chicago Blackhawks,2,"18,388",2:31,
2024-04-18,Boston Bruins,3,Dallas Stars,2,"18,532",2:37,
2024-04-18,Columbus Blue Jackets,4,Florida Panthers,5,"17,103",2:27,OT
2024-04-18,Tampa Bay Lightning,5,Toronto Maple Leafs,6,"18,445",2:30,OT
2024-04-18,Edmonton Oilers,2,Vancouver Canucks,6,"18,857",2:44,
2024-04-18,Pittsburgh Penguins,2,Anaheim Ducks,0,"16,043",2:32,
2024-04-18,Seattle Kraken,3,Arizona Coyotes,4,"4,600",2:40,SO
2024-04-18,Buffalo Sabres,2,Carolina Hurricanes,3,"18,700",2:25,OT
2024-04-18,Nashville Predators,2,Calgary Flames,4,"16,975",2:29,
2024-04-18,New Jersey Devils,3,Colorado Avalanche,6,"18,087",2:38,
2024-04-18,Tampa Bay Lightning,5,Montreal Canadiens,3,"21,105",2:32,
2024-04-18,Minnesota Wild,4,New York Islanders,2,"13,527",2:30,
2024-04-18,Detroit Red Wings,3,New York Rangers,5,"18,006",2:25,
2024-04-18,Philadelphia Flyers,1,San Jose Sharks,2,"10,074",2:31,
2024-04-18,Winnipeg Jets,5,St. Louis Blues,2,"18,096",2:24,
2024-04-18,Ottawa Senators,6,Toronto Maple Leafs,3,"18,372",2:20,
2024-04-18,Los Angeles Kings,4,Vegas Golden Knights,1,"18,330",2:27,
2024-04-18,Florida Panthers,4,Washington Capitals,3,"16,104",2:30,OT
2024-04-18,New York Islanders,2,Boston Bruins,5,"17,850",2:24,
2024-04-18,Dallas Stars,5,Columbus Blue Jackets,2,"15,253",2:25,
2024-04-18,Seattle Kraken,4,Colorado Avalanche,3,"18,124",2:29,
2024-04-18,Montreal Canadiens,3,Detroit Red Wings,2,"18,504",2:40,OT
2024-04-18,Pittsburgh Penguins,4,Los Angeles Kings,3,"18,145",2:31,OT
2024-04-18,Minnesota Wild,1,New York Rangers,4,"18,006",2:23,
2024-04-18,Vancouver Canucks,5,Ottawa Senators,2,"16,653",2:22,
2024-04-18,Edmonton Oilers,2,San Jose Sharks,3,"12,206",2:26,
2024-04-18,Arizona Coyotes,1,St. Louis Blues,2,"18,096",2:36,
2024-04-18,Chicago Blackhawks,5,Tampa Bay Lightning,3,"19,092",2:32,
2024-04-18,Nashville Predators,3,Winnipeg Jets,6,"12,199",2:30,
2024-04-18,Philadelphia Flyers,6,Anaheim Ducks,3,"15,550",2:32,
2024-04-18,Minnesota Wild,2,Buffalo Sabres,3,"17,031",2:26,
2024-04-18,Carolina Hurricanes,2,Florida Panthers,5,"17,845",2:33,
2024-04-18,Washington Capitals,4,New Jersey Devils,2,"16,514",2:26,
2024-04-18,Calgary Flames,4,Toronto Maple Leafs,5,"18,939",2:38,SO
2024-04-18,San Jose Sharks,0,Vegas Golden Knights,5,"18,423",2:27,
2024-04-18,St. Louis Blues,8,Colorado Avalanche,2,"18,132",2:34,
2024-04-18,Columbus Blue Jackets,4,Detroit Red Wings,5,"19,156",2:27,
2024-04-18,Philadelphia Flyers,4,Los Angeles Kings,2,"18,145",2:25,
2024-04-18,Boston Bruins,2,Montreal Canadiens,3,"21,105",2:28,OT
2024-04-18,Arizona Coyotes,7,Nashville Predators,5,"17,303",2:24,
