game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
2022-10-07,San Jose Sharks,1,Nashville Predators,4,"16,648",2:43,NaN,0
2022-10-08,Nashville Predators,3,San Jose Sharks,2,"17,023",2:33,NaN,0
2022-10-11,Vegas Golden Knights,4,Los Angeles Kings,3,"18,230",2:31,NaN,0
2022-10-11,Tampa Bay Lightning,1,New York Rangers,3,"18,006",2:21,NaN,0
2022-10-12,Seattle Kraken,4,Anaheim Ducks,5,"17,530",2:28,OT,0
2022-10-12,Columbus Blue Jackets,1,Carolina Hurricanes,4,"18,824",2:37,NaN,0
2022-10-12,Chicago Blackhawks,2,Colorado Avalanche,5,"18,143",2:19,NaN,0
2022-10-12,Vancouver Canucks,3,Edmonton Oilers,5,"18,347",2:41,NaN,0
2022-10-12,Toronto Maple Leafs,3,Montreal Canadiens,4,"21,105",2:30,NaN,0
2022-10-12,Boston Bruins,5,Washington Capitals,2,"18,573",2:28,NaN,0
2022-10-13,Ottawa Senators,1,Buffalo Sabres,4,"15,364",2:21,NaN,0
2022-10-13,Colorado Avalanche,3,Calgary Flames,5,"19,289",2:35,NaN,0
2022-10-13,Seattle Kraken,4,Los Angeles Kings,1,"15,645",2:28,NaN,0
2022-10-13,New York Rangers,7,Minnesota Wild,3,"18,612",2:31,NaN,0
2022-10-13,Dallas Stars,4,Nashville Predators,1,"17,692",2:26,NaN,0
2022-10-13,Florida Panthers,3,New York Islanders,1,"17,255",2:36,NaN,0
2022-10-13,New Jersey Devils,2,Philadelphia Flyers,5,"19,107",2:34,NaN,0
2022-10-13,Arizona Coyotes,2,Pittsburgh Penguins,6,"18,355",2:34,NaN,0
2022-10-13,Washington Capitals,2,Toronto Maple Leafs,3,"18,914",2:31,NaN,0
2022-10-13,Chicago Blackhawks,0,Vegas Golden Knights,1,"18,467",2:27,NaN,0
2022-10-14,Tampa Bay Lightning,5,Columbus Blue Jackets,2,"18,889",2:25,NaN,0
2022-10-14,Montreal Canadiens,0,Detroit Red Wings,3,"19,515",2:30,NaN,0
2022-10-14,Carolina Hurricanes,2,San Jose Sharks,1,"17,562",2:27,NaN,0
2022-10-14,New York Rangers,1,Winnipeg Jets,4,"14,553",2:26,NaN,0
2022-10-15,Arizona Coyotes,3,Boston Bruins,6,"17,850",2:33,NaN,0
2022-10-15,Florida Panthers,4,Buffalo Sabres,3,"11,481",2:30,NaN,0
2022-10-15,Nashville Predators,1,Dallas Stars,5,"18,532",2:30,NaN,0
2022-10-15,Calgary Flames,4,Edmonton Oilers,3,"18,347",2:35,NaN,0
2022-10-15,Los Angeles Kings,7,Minnesota Wild,6,"18,421",2:44,NaN,0
2022-10-15,Detroit Red Wings,5,New Jersey Devils,2,"16,514",2:25,NaN,0
2022-10-15,Anaheim Ducks,1,New York Islanders,7,"16,487",2:32,NaN,0
2022-10-15,Vancouver Canucks,2,Philadelphia Flyers,3,"14,837",2:27,NaN,0
2022-10-15,Tampa Bay Lightning,2,Pittsburgh Penguins,6,"18,416",2:25,NaN,0
2022-10-15,Vegas Golden Knights,5,Seattle Kraken,2,"17,151",2:32,NaN,0
2022-10-15,Chicago Blackhawks,5,San Jose Sharks,2,"15,219",2:22,NaN,0
2022-10-15,Columbus Blue Jackets,2,St. Louis Blues,5,"18,096",2:19,NaN,0
2022-10-15,Ottawa Senators,2,Toronto Maple Leafs,3,"18,709",2:28,NaN,0
2022-10-15,Montreal Canadiens,1,Washington Capitals,3,"18,573",2:29,NaN,0
2022-10-17,Florida Panthers,3,Boston Bruins,5,"17,850",2:32,NaN,0
