game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1984-10-11,Pittsburgh Penguins,3,Boston Bruins,4,NaN,NaN,NaN,0
1984-10-11,Montreal Canadiens,3,Buffalo Sabres,4,NaN,NaN,NaN,0
1984-10-11,Detroit Red Wings,3,Chicago Black Hawks,7,NaN,NaN,NaN,0
1984-10-11,St. Louis Blues,4,Calgary Flames,2,NaN,NaN,NaN,0
1984-10-11,Edmonton Oilers,2,Los Angeles Kings,2,NaN,NaN,OT,0
1984-10-11,Toronto Maple Leafs,1,Minnesota North Stars,0,NaN,NaN,OT,0
1984-10-11,Hartford Whalers,4,New York Rangers,4,NaN,NaN,OT,0
1984-10-11,Washington Capitals,2,Philadelphia Flyers,2,NaN,NaN,OT,0
1984-10-11,Quebec Nordiques,5,Vancouver Canucks,2,NaN,NaN,NaN,0
1984-10-12,St. Louis Blues,1,Edmonton Oilers,5,NaN,NaN,NaN,0
1984-10-12,New York Islanders,2,New Jersey Devils,7,NaN,NaN,NaN,0
1984-10-13,Quebec Nordiques,2,Calgary Flames,7,NaN,NaN,NaN,0
1984-10-13,New Jersey Devils,1,Detroit Red Wings,4,NaN,NaN,NaN,0
1984-10-13,Boston Bruins,2,Hartford Whalers,3,NaN,NaN,OT,0
1984-10-13,Vancouver Canucks,6,Los Angeles Kings,5,NaN,NaN,OT,0
1984-10-13,New York Rangers,1,Minnesota North Stars,3,NaN,NaN,NaN,0
1984-10-13,Pittsburgh Penguins,3,Montreal Canadiens,4,NaN,NaN,NaN,0
1984-10-13,Chicago Black Hawks,6,New York Islanders,7,NaN,NaN,OT,0
1984-10-13,Buffalo Sabres,3,Toronto Maple Leafs,4,NaN,NaN,OT,0
1984-10-13,Philadelphia Flyers,4,Washington Capitals,2,NaN,NaN,NaN,0
1984-10-14,Hartford Whalers,2,Boston Bruins,4,NaN,NaN,NaN,0
1984-10-14,Detroit Red Wings,4,Buffalo Sabres,6,NaN,NaN,NaN,0
